dataset,item,expected,found,status
cityscapes,train_images,2975,2975,PASS
cityscapes,val_images,500,500,PASS
acdc,fog/train,400,400,PASS
acdc,fog/val,100,100,PASS
acdc,night/train,400,400,PASS
acdc,night/val,106,106,PASS
acdc,rain/train,400,400,PASS
acdc,rain/val,100,100,PASS
acdc,snow/train,400,400,PASS
acdc,snow/val,100,100,PASS
loveda,Train/Urban,1156,1156,PASS
loveda,Train/Rural,1366,1366,PASS
loveda,Val/Urban,677,677,PASS
loveda,Val/Rural,992,992,PASS
loveda,Test/Urban,820,820,PASS
loveda,Test/Rural,976,976,PASS
marida,patch_tifs,4143,4143,PASS
marida,official_train,694,694,PASS
marida,official_val,328,328,PASS
marida,official_test,359,359,PASS
