lam,feasible,region_fnr,marked_area_fraction,n_test_images,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
0.999,True,0.041333224158882055,0.05578656122088432,200,0.04400000000000004,False,0.059593023255813955,0.008298755186721992,0.0,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.999,True,0.041333224158882055,0.05578656122088432,200,0.04400000000000004,False,0.059593023255813955,0.008298755186721992,0.0,0,person,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.998,True,0.05353406242879927,0.04817335307598114,200,0.04400000000000004,False,0.07703488372093023,0.01037344398340249,0.0,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,True,0.5056775170325511,0.013344869948923588,250,,False,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
0.991,True,0.14241968764666132,0.03494212031364441,200,0.052000000000000046,False,0.17732558139534885,0.029045643153526972,0.0,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.996,True,0.09327341079972658,0.04157356172800064,200,0.04800000000000004,False,0.11046511627906977,0.01867219917012448,0.0,0,person,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.991,True,0.14241968764666132,0.03494212031364441,200,0.052000000000000046,False,0.17732558139534885,0.029045643153526972,0.0,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,True,0.5056775170325511,0.013344869948923588,250,,False,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
0.972,True,0.2214279977776495,0.027271298691630363,200,0.06000000000000005,False,0.29505813953488375,0.06224066390041494,0.0,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.979,True,0.20046907734078787,0.02909083664417267,200,0.05600000000000005,False,0.2616279069767442,0.05186721991701245,0.0,0,person,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.97,True,0.22401764424229595,0.02684609591960907,200,0.06000000000000005,False,0.30377906976744184,0.06224066390041494,0.0,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,True,0.5056775170325511,0.013344869948923588,250,,False,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
0.999,True,0.06205291163514847,0.05578656122088432,200,0.04400000000000004,False,0.07703488372093023,0.02074688796680498,0.0,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.999,True,0.06205291163514847,0.05578656122088432,200,0.04400000000000004,False,0.07703488372093023,0.02074688796680498,0.0,0,person,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.999,True,0.06205291163514847,0.05578656122088432,200,0.04400000000000004,False,0.07703488372093023,0.02074688796680498,0.0,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,True,0.5987887963663892,0.013344869948923588,250,,False,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
0.998,True,0.10583484911774384,0.04817335307598114,200,0.04400000000000004,False,0.11337209302325581,0.029045643153526972,0.0,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.996,True,0.14092764448027606,0.04157356172800064,200,0.04800000000000004,False,0.1613372093023256,0.04979253112033195,0.0,0,person,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.997,True,0.12653507688705057,0.04420825466513634,200,0.04400000000000004,False,0.13953488372093023,0.043568464730290454,0.0,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,True,0.5987887963663892,0.013344869948923588,250,,False,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
0.987,True,0.22686482997996155,0.03229951113462448,200,0.052000000000000046,False,0.2703488372093023,0.08298755186721991,0.0,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.979,True,0.28300814448279615,0.02909083664417267,200,0.05600000000000005,False,0.34593023255813954,0.11203319502074689,0.0,0,person,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.987,True,0.22686482997996155,0.03229951113462448,200,0.052000000000000046,False,0.2703488372093023,0.08298755186721991,0.0,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,True,0.5987887963663892,0.013344869948923588,250,,False,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
