fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.998,998,True,0.11420289855072463,0.11420289855072463,0.01599830761551857,,-1.0,115,252.0,27.0,0.10714285714285714,0.518,True,0.15757575757575756,0.012658227848101266,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.998,998,True,0.11420289855072463,0.11420289855072463,0.01599830761551857,,-1.0,115,252.0,27.0,0.10714285714285714,0.518,True,0.15757575757575756,0.012658227848101266,0.0,,,0,person,0.05,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.997,997,True,0.12753623188405797,0.12753623188405797,0.013116661459207535,,-1.0,115,252.0,31.0,0.12301587301587301,0.524,True,0.17575757575757575,0.02531645569620253,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,,-1,True,,0.6647722567287785,0.0006862548179924488,,,500,,,0.6150793650793651,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.987,987,True,0.2086231884057971,0.2086231884057971,0.006107557099312544,,-1.0,115,252.0,50.0,0.1984126984126984,0.53,True,0.2787878787878788,0.05063291139240506,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.993,993,True,0.15579710144927533,0.15579710144927533,0.008519594557583332,,-1.0,115,252.0,38.0,0.15079365079365079,0.528,True,0.21212121212121213,0.0379746835443038,0.0,,,0,person,0.1,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.987,987,True,0.2086231884057971,0.2086231884057971,0.006107557099312544,,-1.0,115,252.0,50.0,0.1984126984126984,0.53,True,0.2787878787878788,0.05063291139240506,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,,-1,True,,0.6647722567287785,0.0006862548179924488,,,500,,,0.6150793650793651,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.968,968,True,0.3243478260869565,0.3243478260869565,0.003652948420494795,,-1.0,115,252.0,72.0,0.2857142857142857,0.534,True,0.3696969696969697,0.13924050632911392,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.971,971,True,0.30231884057971015,0.30231884057971015,0.0038683952298015356,,-1.0,115,252.0,68.0,0.2698412698412698,0.534,True,0.3575757575757576,0.11392405063291139,0.0,,,0,person,0.2,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.967,967,True,0.3243478260869565,0.3243478260869565,0.003586524398997426,,-1.0,115,252.0,72.0,0.2857142857142857,0.532,True,0.3696969696969697,0.13924050632911392,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,,-1,True,,0.6647722567287785,0.0006862548179924488,,,500,,,0.6150793650793651,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.999,999,True,0.11594202898550723,0.11594202898550723,0.02222818322479725,,-1.0,115,252.0,28.0,0.1111111111111111,0.504,True,0.15757575757575756,0.02531645569620253,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.998,998,True,0.1318840579710145,0.1318840579710145,0.01599830761551857,,-1.0,115,252.0,32.0,0.12698412698412698,0.518,True,0.18181818181818182,0.02531645569620253,0.0,,,0,person,0.05,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.999,999,True,0.11594202898550723,0.11594202898550723,0.02222818322479725,,-1.0,115,252.0,28.0,0.1111111111111111,0.504,True,0.15757575757575756,0.02531645569620253,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,,-1,True,,0.7668012422360247,0.0006862548179924488,,,500,,,0.7380952380952381,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.994,994,True,0.22057971014492753,0.22057971014492753,0.009236104786396027,,-1.0,115,252.0,51.0,0.20238095238095238,0.528,True,0.2787878787878788,0.06329113924050633,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.993,993,True,0.2336231884057971,0.2336231884057971,0.008519594557583332,,-1.0,115,252.0,53.0,0.21031746031746032,0.528,True,0.2909090909090909,0.06329113924050633,0.0,,,0,person,0.1,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.993,993,True,0.2336231884057971,0.2336231884057971,0.008519594557583332,,-1.0,115,252.0,53.0,0.21031746031746032,0.528,True,0.2909090909090909,0.06329113924050633,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,,-1,True,,0.7668012422360247,0.0006862548179924488,,,500,,,0.7380952380952381,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.985,985,True,0.3015217391304348,0.3015217391304348,0.00564277358353138,,-1.0,115,252.0,70.0,0.2777777777777778,0.524,True,0.3575757575757576,0.13924050632911392,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.971,971,True,0.39732919254658383,0.39732919254658383,0.0038683952298015356,,-1.0,115,252.0,89.0,0.3531746031746032,0.534,True,0.45454545454545453,0.17721518987341772,0.0,,,0,person,0.2,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.984,984,True,0.31456521739130433,0.31456521739130433,0.005444178357720375,,-1.0,115,252.0,72.0,0.2857142857142857,0.522,True,0.3696969696969697,0.13924050632911392,0.0,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,,-1,True,,0.7668012422360247,0.0006862548179924488,,,500,,,0.7380952380952381,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
