lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
0.999,999,True,0.0789855072463768,0.0789855072463768,0.0069863880053162575,0.77,115,252.0,0.5840000000000001,True,0.13333333333333333,0.02531645569620253,0.0,,,0,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.77,115,252.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.999,999,True,0.0789855072463768,0.0789855072463768,0.0069863880053162575,0.77,115,252.0,0.5840000000000001,True,0.13333333333333333,0.02531645569620253,0.0,,,0,person,0.05,0.1,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.3893374741200828,0.0006743508856743574,,500,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.36904761904761907
0.992,992,True,0.1363768115942029,0.1363768115942029,0.0027816835790872574,0.77,115,252.0,0.5840000000000001,True,0.20606060606060606,0.02531645569620253,0.0,,,0,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.993,993,True,0.1363768115942029,0.1363768115942029,0.0029408016707748175,0.77,115,252.0,0.5860000000000001,True,0.20606060606060606,0.02531645569620253,0.0,,,0,person,0.1,0.1,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.992,992,True,0.1363768115942029,0.1363768115942029,0.0027816835790872574,0.77,115,252.0,0.5840000000000001,True,0.20606060606060606,0.02531645569620253,0.0,,,0,person,0.1,0.1,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.3893374741200828,0.0006743508856743574,,500,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.36904761904761907
0.916,916,True,0.28314699792960657,0.28314699792960657,0.0011754822917282581,3.428,115,252.0,0.558,True,0.3696969696969697,0.06329113924050633,0.0,,,0,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.886,886,True,0.30850931677018634,0.30850931677018634,0.0010636961087584496,2.326,115,252.0,0.558,True,0.4,0.06329113924050633,0.0,,,0,person,0.2,0.1,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
