fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.999,999,True,0.029208072629125264,0.02920807262912526,0.059814032167196274,17.33596837944664,999.0,247,832.0,27.0,0.03245192307692308,0.24732015810276686,True,0.04609929078014184,0.00425531914893617,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.029208072629125264,0.02920807262912526,0.059814032167196274,17.33596837944664,999.0,247,832.0,27.0,0.03245192307692308,0.24732015810276686,True,0.04609929078014184,0.00425531914893617,0.0,,,0,person,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.998,998,True,0.03843393448656606,0.03843393448656606,0.048491716384887695,15.363636363636363,998.0,247,832.0,38.0,0.04567307692307692,0.22162845849802376,True,0.06205673758865248,0.01276595744680851,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.5888168230779568,0.003812145907431841,,,506,,,0.5528846153846154,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.991,991,True,0.12122920938710412,0.12122920938710412,0.02885800041258335,12.096837944664031,991.0,247,832.0,91.0,0.109375,0.1323636363636364,True,0.15070921985815602,0.02553191489361702,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.996,996,True,0.06947789053052211,0.0694778905305221,0.03865422308444977,13.984189723320158,996.0,247,832.0,57.0,0.06850961538461539,0.18553359683794468,True,0.09219858156028368,0.02127659574468085,0.0,,,0,person,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.991,991,True,0.12122920938710412,0.12122920938710412,0.02885800041258335,12.096837944664031,991.0,247,832.0,91.0,0.109375,0.1323636363636364,True,0.15070921985815602,0.02553191489361702,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.5888168230779568,0.003812145907431841,,,506,,,0.5528846153846154,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.972,972,True,0.22159331896173998,0.22159331896174,0.01805020496249199,9.614624505928854,972.0,247,832.0,158.0,0.18990384615384615,0.14042687747035565,True,0.2570921985815603,0.05106382978723404,0.030303030303030304,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.979,979,True,0.18754666386245333,0.18754666386245333,0.020517796277999878,10.16600790513834,979.0,247,832.0,138.0,0.1658653846153846,0.13440316205533587,True,0.225177304964539,0.0425531914893617,0.030303030303030304,,,0,person,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.97,970,True,0.23027528027528024,0.23027528027528027,0.017487719655036926,9.472332015810277,970.0,247,832.0,164.0,0.1971153846153846,0.14240316205533587,True,0.26595744680851063,0.05531914893617021,0.030303030303030304,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.5888168230779568,0.003812145907431841,,,506,,,0.5528846153846154,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.06049871181450128,0.060498711814501276,0.059814032167196274,17.33596837944664,999.0,247,832.0,48.0,0.057692307692307696,0.24732015810276686,True,0.07446808510638298,0.02553191489361702,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.06049871181450128,0.060498711814501276,0.059814032167196274,17.33596837944664,999.0,247,832.0,48.0,0.057692307692307696,0.24732015810276686,True,0.07446808510638298,0.02553191489361702,0.0,,,0,person,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.06049871181450128,0.060498711814501276,0.059814032167196274,17.33596837944664,999.0,247,832.0,48.0,0.057692307692307696,0.24732015810276686,True,0.07446808510638298,0.02553191489361702,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.6888667618930777,0.003812145907431841,,,506,,,0.65625,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.998,998,True,0.07302040065197961,0.0730204006519796,0.048491716384887695,15.363636363636363,998.0,247,832.0,57.0,0.06850961538461539,0.22162845849802376,True,0.09042553191489362,0.02553191489361702,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.996,996,True,0.11861603308971728,0.11861603308971728,0.03865422308444977,13.984189723320158,996.0,247,832.0,85.0,0.10216346153846154,0.18553359683794468,True,0.12943262411347517,0.0425531914893617,0.06060606060606061,,,0,person,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.997,997,True,0.09694077851972588,0.09694077851972588,0.04256226122379303,14.626482213438734,997.0,247,832.0,74.0,0.0889423076923077,0.1955098814229249,True,0.11170212765957446,0.03829787234042553,0.06060606060606061,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.6888667618930777,0.003812145907431841,,,506,,,0.65625,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.987,987,True,0.21929566160335393,0.21929566160335393,0.025021372362971306,11.219367588932807,987.0,247,832.0,156.0,0.1875,0.12621343873517776,True,0.24468085106382978,0.06808510638297872,0.06060606060606061,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.979,979,True,0.25636283419684225,0.25636283419684225,0.020517796277999878,10.16600790513834,979.0,247,832.0,191.0,0.22956730769230768,0.13440316205533587,True,0.3049645390070922,0.07234042553191489,0.06060606060606061,,,0,person,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.987,987,True,0.21929566160335393,0.21929566160335393,0.025021372362971306,11.219367588932807,987.0,247,832.0,156.0,0.1875,0.12621343873517776,True,0.24468085106382978,0.06808510638297872,0.06060606060606061,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.6888667618930777,0.003812145907431841,,,506,,,0.65625,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.7114624505928854,1000.0,146,193.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.7114624505928854,1000.0,146,193.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
