lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
0.999,999,True,0.051960784313725486,0.051960784313725486,0.029241254553198814,0.66,170,334.0,0.10199999999999998,False,0.07368421052631578,0.024793388429752067,0.043478260869565216,,,0,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.66,170,334.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.999,999,True,0.051960784313725486,0.051960784313725486,0.029241254553198814,0.66,170,334.0,0.10199999999999998,False,0.07368421052631578,0.024793388429752067,0.043478260869565216,,,0,person,0.05,0.1,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.5024919198448611,0.0015570023097097874,,500,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.46706586826347307
0.992,992,True,0.16245098039215686,0.16245098039215686,0.011684037744998932,0.66,170,334.0,0.20199999999999996,True,0.2,0.06611570247933884,0.043478260869565216,,,0,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.993,993,True,0.1506862745098039,0.15068627450980393,0.012439094483852386,0.66,170,334.0,0.19599999999999995,True,0.19473684210526315,0.05785123966942149,0.043478260869565216,,,0,person,0.1,0.1,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.992,992,True,0.16245098039215686,0.16245098039215686,0.011684037744998932,0.66,170,334.0,0.20199999999999996,True,0.2,0.06611570247933884,0.043478260869565216,,,0,person,0.1,0.1,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.5024919198448611,0.0015570023097097874,,500,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.46706586826347307
0.916,916,True,0.31654923507864685,0.31654923507864685,0.0036763541866093874,12.154,170,334.0,0.31799999999999995,True,0.45263157894736844,0.11570247933884298,0.08695652173913043,,,0,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.886,886,True,0.33660956690368454,0.3366095669036845,0.003144209273159504,8.528,170,334.0,0.33199999999999996,True,0.47368421052631576,0.12396694214876033,0.08695652173913043,,,0,person,0.2,0.1,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.915,915,True,0.31654923507864685,0.31654923507864685,0.003654828993603587,12.154,170,334.0,0.31799999999999995,True,0.45263157894736844,0.11570247933884298,0.08695652173913043,,,0,person,0.2,0.1,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.5024919198448611,0.0015570023097097874,,500,,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.46706586826347307
1.0,1000,True,0.0,0.0,1.0,0.66,170,334.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.66,170,334.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.66,170,334.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.6485836385836385,0.0015570023097097874,,500,,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.6047904191616766
0.999,999,True,0.121078431372549,0.121078431372549,0.029241254553198814,0.66,170,334.0,0.10199999999999998,False,0.14736842105263157,0.0743801652892562,0.043478260869565216,,,0,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.993,993,True,0.23931372549019606,0.2393137254901961,0.012439094483852386,0.66,170,334.0,0.19599999999999995,True,0.29473684210526313,0.11570247933884298,0.08695652173913043,,,0,person,0.1,0.5,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.999,999,True,0.121078431372549,0.121078431372549,0.029241254553198814,0.66,170,334.0,0.10199999999999998,False,0.14736842105263157,0.0743801652892562,0.043478260869565216,,,0,person,0.1,0.5,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
,-1,True,,0.6485836385836385,0.0015570023097097874,,500,,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b5_cityscapes,cityscapes_val_half,202,0.6047904191616766
0.972,972,True,0.3415115276879983,0.34151152768799825,0.006367222871631384,22.886,170,334.0,0.27,True,0.45263157894736844,0.15702479338842976,0.13043478260869565,,,0,person,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.886,886,True,0.509256625727214,0.509256625727214,0.003144209273159504,8.528,170,334.0,0.33199999999999996,True,0.6526315789473685,0.2066115702479339,0.2608695652173913,,,0,person,0.2,0.5,pixel_crc,segformer_b5_cityscapes,cityscapes_val_half,202,
0.97,970,True,0.34464878258995907,0.344648782589959,0.006153860595077276,22.886,170,334.0,0.274,True,0.45789473684210524,0.1652892561983471,0.13043478260869565,,,0,person,0.2,0.5,heuristic,segformer_b5_cityscapes,cityscapes_val_half,202,
