lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
1.0,1000,True,0.0,0.0,1.0,0.795,82,170.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
0.999,999,True,0.10528455284552846,0.10528455284552846,0.021956058219075203,0.795,82,170.0,0.08499999999999999,False,0.18181818181818182,0.0,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
,-1,True,,0.6507259001161441,0.0006020543514750898,,400,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,0.6058823529411764
0.997,997,True,0.15040650406504064,0.15040650406504064,0.012860371731221676,0.795,82,170.0,0.08249999999999999,False,0.22727272727272727,0.01818181818181818,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
0.993,993,True,0.17886178861788618,0.17886178861788618,0.008289126679301262,0.795,82,170.0,0.07250000000000001,False,0.2636363636363636,0.01818181818181818,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
,-1,True,,0.6507259001161441,0.0006020543514750898,,400,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,0.6058823529411764
0.981,981,True,0.25660569105691056,0.25660569105691056,0.004745348822325468,6.84,82,170.0,0.0625,False,0.34545454545454546,0.05454545454545454,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
0.981,981,True,0.25660569105691056,0.25660569105691056,0.004745348822325468,6.84,82,170.0,0.0625,False,0.34545454545454546,0.05454545454545454,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
,-1,True,,0.6507259001161441,0.0006020543514750898,,400,,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,0.6058823529411764
1.0,1000,True,0.0,0.0,1.0,0.795,82,170.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
1.0,1000,True,0.0,0.0,1.0,0.795,82,170.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
,-1,True,,0.7644163763066202,0.0006020543514750898,,400,,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,0.7352941176470589
0.998,998,True,0.1565040650406504,0.1565040650406504,0.01573006622493267,0.795,82,170.0,0.07499999999999998,False,0.23636363636363636,0.01818181818181818,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
0.998,998,True,0.1565040650406504,0.1565040650406504,0.01573006622493267,0.795,82,170.0,0.07499999999999998,False,0.23636363636363636,0.01818181818181818,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
,-1,True,,0.7644163763066202,0.0006020543514750898,,400,,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,0.7352941176470589
0.991,991,True,0.29522357723577236,0.29522357723577236,0.007229480892419815,0.795,82,170.0,0.06999999999999995,False,0.36363636363636365,0.10909090909090909,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
0.989,989,True,0.3246951219512195,0.3246951219512195,0.006474052555859089,0.795,82,170.0,0.06999999999999995,False,0.4,0.12727272727272726,0.0,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,
,-1,True,,0.7644163763066202,0.0006020543514750898,,400,,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,33,0.7352941176470589
1.0,1000,False,0.0,0.0,1.0,0.9325,27,37.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,
1.0,1000,True,0.0,0.0,1.0,0.9325,27,37.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,
,-1,True,,0.6481481481481481,0.00017344593652524054,,400,,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,0.6486486486486487
1.0,1000,False,0.0,0.0,1.0,0.9325,27,37.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,
1.0,1000,True,0.0,0.0,1.0,0.9325,27,37.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,
,-1,True,,0.6481481481481481,0.00017344593652524054,,400,,,False,,,,,,0,rider,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,0.6486486486486487
1.0,1000,True,0.0,0.0,1.0,0.9325,27,37.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,
1.0,1000,True,0.0,0.0,1.0,0.9325,27,37.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,
,-1,True,,0.6481481481481481,0.00017344593652524054,,400,,,False,,,,,,0,rider,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal100,4,0.6486486486486487
