lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
,-1,True,,0.5331734847002022,0.0030244055669754744,,400,,,False,,,,,,0,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,0.4959349593495935
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
,-1,True,,0.5331734847002022,0.0030244055669754744,,400,,,False,,,,,,0,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,0.4959349593495935
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
,-1,True,,0.5331734847002022,0.0030244055669754744,,400,,,False,,,,,,0,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,0.4959349593495935
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
,-1,True,,0.6104586677105762,0.0030244055669754744,,400,,,False,,,,,,0,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,0.5975609756097561
1.0,1000,True,0.0,0.0,1.0,0.6725,131,246.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39,
