fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,131,246.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,131,246.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,heuristic,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.47695243687610095,0.001507865497842431,,,400,,,0.44715447154471544,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,0.999,999,True,0.05216284987277353,0.05216284987277353,0.02898850291967392,,-1.0,131,246.0,14.0,0.056910569105691054,0.07999999999999999,False,0.08888888888888889,0.010638297872340425,0.058823529411764705,,,0,person,0.1,0.1,region_crc,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,0.999,999,True,0.05216284987277353,0.05216284987277353,0.02898850291967392,,-1.0,131,246.0,14.0,0.056910569105691054,0.07999999999999999,False,0.08888888888888889,0.010638297872340425,0.058823529411764705,,,0,person,0.1,0.1,heuristic,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.47695243687610095,0.001507865497842431,,,400,,,0.44715447154471544,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,0.993,993,True,0.1440203562340967,0.1440203562340967,0.012263727374374866,,-1.0,131,246.0,33.0,0.13414634146341464,0.08499999999999996,False,0.2074074074074074,0.0425531914893617,0.058823529411764705,,,0,person,0.2,0.1,region_crc,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,0.992,992,True,0.15165394402035623,0.15165394402035623,0.011510615237057209,,-1.0,131,246.0,34.0,0.13821138211382114,0.095,False,0.2074074074074074,0.05319148936170213,0.058823529411764705,,,0,person,0.2,0.1,heuristic,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.47695243687610095,0.001507865497842431,,,400,,,0.44715447154471544,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b5_cityscapes,acdc_rain_targetcal100,39
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,131,246.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b5_cityscapes,acdc_rain_targetcal100,39
