fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,109,241.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.997,997,True,0.1345565749235474,0.13455657492354742,0.013135687448084354,,-1.0,109,241.0,31.0,0.12863070539419086,0.08842105263157898,False,0.18354430379746836,0.025974025974025976,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,,-1,True,,0.6715487112276104,0.0006733380723744631,,,475,,,0.6182572614107884,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,109,241.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.934,934,True,0.40948012232415903,0.40948012232415903,0.0023352396674454212,,-1.0,109,241.0,86.0,0.35684647302904565,0.17473684210526313,False,0.47468354430379744,0.14285714285714285,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,,-1,True,,0.6715487112276104,0.0006733380723744631,,,475,,,0.6182572614107884,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.997,997,True,0.1345565749235474,0.13455657492354742,0.013135687448084354,,-1.0,109,241.0,31.0,0.12863070539419086,0.08842105263157898,False,0.18354430379746836,0.025974025974025976,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.904,904,True,0.4523263433813893,0.4523263433813892,0.0018216047901660204,,-1.0,109,241.0,99.0,0.4107883817427386,0.2210526315789474,False,0.5253164556962026,0.2077922077922078,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,,-1,True,,0.6715487112276104,0.0006733380723744631,,,475,,,0.6182572614107884,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,109,241.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.999,999,True,0.12232415902140671,0.12232415902140674,0.02221520245075226,,-1.0,109,241.0,28.0,0.11618257261410789,0.16210526315789475,False,0.16455696202531644,0.025974025974025976,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,,-1,True,,0.7746068152031454,0.0006733380723744631,,,475,,,0.7427385892116183,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,109,241.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.97,970,True,0.41461336828309303,0.414613368283093,0.003789378795772791,,-1.0,109,241.0,88.0,0.3651452282157676,0.16842105263157894,False,0.46835443037974683,0.18181818181818182,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,,-1,True,,0.7746068152031454,0.0006733380723744631,,,475,,,0.7427385892116183,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.999,999,True,0.12232415902140671,0.12232415902140674,0.02221520245075226,,-1.0,109,241.0,28.0,0.11618257261410789,0.16210526315789475,False,0.16455696202531644,0.025974025974025976,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,0.9420000000000001,942,True,0.49645041502839665,0.4964504150283967,0.0025360588915646076,,-1.0,109,241.0,108.0,0.44813278008298757,0.15368421052631576,False,0.5759493670886076,0.22077922077922077,0.0,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,,-1,True,,0.7746068152031454,0.0006733380723744631,,,475,,,0.7427385892116183,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,6
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,30,40.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_fog_targetcal25,1
