lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
1.0,1000,False,0.0,0.0,1.0,0.5176715176715176,232,792.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
1.0,1000,True,0.0,0.0,1.0,0.5176715176715176,232,792.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
,-1,True,,0.609968354203268,0.0036107932683080435,,481,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,0.5681818181818182
1.0,1000,True,0.0,0.0,1.0,0.5176715176715176,232,792.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
0.998,998,True,0.02205133228840125,0.022051332288401254,0.06300873309373856,0.5176715176715176,232,792.0,0.22694386694386692,False,0.03345724907063197,0.0044444444444444444,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
,-1,True,,0.609968354203268,0.0036107932683080435,,481,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,0.5681818181818182
0.992,992,True,0.06817062248096731,0.06817062248096731,0.037737078964710236,0.5176715176715176,232,792.0,0.21704781704781706,False,0.08921933085501858,0.013333333333333334,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
0.975,975,True,0.194122723540827,0.19412272354082702,0.02250100113451481,14.991683991683992,232,792.0,0.1895218295218296,False,0.22676579925650558,0.02666666666666667,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
,-1,True,,0.609968354203268,0.0036107932683080435,,481,,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,0.5681818181818182
1.0,1000,False,0.0,0.0,1.0,0.5176715176715176,232,792.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
1.0,1000,True,0.0,0.0,1.0,0.5176715176715176,232,792.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
,-1,True,,0.6996627952985711,0.0036107932683080435,,481,,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,0.6691919191919192
1.0,1000,True,0.0,0.0,1.0,0.5176715176715176,232,792.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
0.999,999,True,0.031318573667711604,0.0313185736677116,0.07887376099824905,0.5176715176715176,232,792.0,0.2508108108108108,False,0.03903345724907063,0.008888888888888889,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
,-1,True,,0.6996627952985711,0.0036107932683080435,,481,,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,0.6691919191919192
0.995,995,True,0.0822347551873414,0.08223475518734139,0.04547709599137306,0.5176715176715176,232,792.0,0.23525987525987524,False,0.09479553903345725,0.035555555555555556,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
0.993,993,True,0.11100304149873115,0.11100304149873114,0.03983801603317261,0.5176715176715176,232,792.0,0.22020790020790015,False,0.12453531598513011,0.035555555555555556,0.0,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,
,-1,True,,0.6996627952985711,0.0036107932683080435,,481,,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,15,0.6691919191919192
1.0,1000,False,0.0,0.0,1.0,0.7110187110187111,139,185.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,7,
1.0,1000,True,0.0,0.0,1.0,0.7110187110187111,139,185.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,7,
,-1,True,,0.9064748201438849,0.00021359400125220418,,481,,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,7,0.8972972972972973
1.0,1000,False,0.0,0.0,1.0,0.7110187110187111,139,185.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_night_targetcal25,7,
