fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,,-1,True,,0.552443922255243,0.0031058641616255045,,,475,,,0.5143769968051118,,False,,,,,,0,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,0.987,987,True,0.30462099047004704,0.30462099047004704,0.01851537451148033,,-1.0,159,313.0,91.0,0.29073482428115016,0.12210526315789472,False,0.42696629213483145,0.125,0.043478260869565216,,,0,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,,-1,True,,0.552443922255243,0.0031058641616255045,,,475,,,0.5143769968051118,,False,,,,,,0,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,0.987,987,True,0.30462099047004704,0.30462099047004704,0.01851537451148033,,-1.0,159,313.0,91.0,0.29073482428115016,0.12210526315789472,False,0.42696629213483145,0.125,0.043478260869565216,,,0,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,0.963,963,True,0.35300834734797,0.35300834734797004,0.011237870901823044,,-1.0,159,313.0,108.0,0.3450479233226837,0.14947368421052631,False,0.5,0.16071428571428573,0.043478260869565216,,,0,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,,-1,True,,0.552443922255243,0.0031058641616255045,,,475,,,0.5143769968051118,,False,,,,,,0,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,,-1,True,,0.6281287196381534,0.0031058641616255045,,,475,,,0.6166134185303515,,False,,,,,,0,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,0.995,995,True,0.32048939879128563,0.3204893987912856,0.028365911915898323,,-1.0,159,313.0,96.0,0.30670926517571884,0.11157894736842108,False,0.42696629213483145,0.16964285714285715,0.043478260869565216,,,0,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,,-1,True,,0.6281287196381534,0.0031058641616255045,,,475,,,0.6166134185303515,,False,,,,,,0,person,0.1,0.5,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,0.995,995,True,0.32048939879128563,0.3204893987912856,0.028365911915898323,,-1.0,159,313.0,96.0,0.30670926517571884,0.11157894736842108,False,0.42696629213483145,0.16964285714285715,0.043478260869565216,,,0,person,0.2,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,0.992,992,True,0.3436792068867541,0.3436792068867541,0.022833362221717834,,-1.0,159,313.0,104.0,0.33226837060702874,0.10947368421052628,False,0.46629213483146065,0.17857142857142858,0.043478260869565216,,,0,person,0.2,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,,-1,True,,0.6281287196381534,0.0031058641616255045,,,475,,,0.6166134185303515,,False,,,,,,0,person,0.2,0.5,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,11
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,27,37.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,0.6960000000000001,696,True,0.6481481481481481,0.6481481481481481,0.000638222845736891,,-1.0,27,37.0,23.0,0.6216216216216216,0.0926315789473684,False,0.7692307692307693,0.5,0.0,,,0,rider,0.05,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,,-1,True,,0.6728395061728394,0.000523936003446579,,,475,,,0.6216216216216216,,False,,,,,,0,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,27,37.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,0.6960000000000001,696,True,0.6481481481481481,0.6481481481481481,0.000638222845736891,,-1.0,27,37.0,23.0,0.6216216216216216,0.0926315789473684,False,0.7692307692307693,0.5,0.0,,,0,rider,0.1,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,,-1,True,,0.6728395061728394,0.000523936003446579,,,475,,,0.6216216216216216,,False,,,,,,0,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,27,37.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,0.6960000000000001,696,True,0.6481481481481481,0.6481481481481481,0.000638222845736891,,-1.0,27,37.0,23.0,0.6216216216216216,0.0926315789473684,False,0.7692307692307693,0.5,0.0,,,0,rider,0.2,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,,-1,True,,0.6728395061728394,0.000523936003446579,,,475,,,0.6216216216216216,,False,,,,,,0,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,27,37.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,0.8140000000000001,814,True,0.6481481481481481,0.6481481481481481,0.0011368964333087206,,-1.0,27,37.0,23.0,0.6216216216216216,0.1010526315789474,False,0.7692307692307693,0.5,0.0,,,0,rider,0.05,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
,,,,-1,True,,0.7098765432098765,0.000523936003446579,,,475,,,0.7027027027027027,,False,,,,,,0,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal25,1
