lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
1.0,1000,False,0.0,0.0,1.0,0.6652631578947369,159,313.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
0.984,984,True,0.21669623179057146,0.2166962317905714,0.013190940022468567,9.791578947368421,159,313.0,0.12421052631578944,False,0.2752808988764045,0.10714285714285714,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
,-1,True,,0.6407637784996275,0.001906400197185576,,475,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25,11,0.5814696485623003
0.984,984,True,0.21669623179057146,0.2166962317905714,0.013190940022468567,9.791578947368421,159,313.0,0.12421052631578944,False,0.2752808988764045,0.10714285714285714,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
0.984,984,True,0.21669623179057146,0.2166962317905714,0.013190940022468567,9.791578947368421,159,313.0,0.12421052631578944,False,0.2752808988764045,0.10714285714285714,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
,-1,True,,0.6407637784996275,0.001906400197185576,,475,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25,11,0.5814696485623003
0.974,974,True,0.27227136944118074,0.27227136944118074,0.01039738580584526,9.791578947368421,159,313.0,0.13684210526315788,False,0.3258426966292135,0.16071428571428573,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
0.973,973,True,0.27541602352923106,0.27541602352923106,0.010200051590800285,9.791578947368421,159,313.0,0.13684210526315788,False,0.33146067415730335,0.16071428571428573,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
,-1,True,,0.6407637784996275,0.001906400197185576,,475,,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25,11,0.5814696485623003
1.0,1000,False,0.0,0.0,1.0,0.6652631578947369,159,313.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25,11,
