fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.977,977,True,0.2277025210987475,0.2277025210987475,0.014445601962506771,,-1.0,159,313.0,60.0,0.19169329073482427,0.12631578947368416,False,0.2752808988764045,0.09821428571428571,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,,-1,True,,0.637095015396902,0.0018387995660305023,,,475,,,0.5910543130990416,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.977,977,True,0.2277025210987475,0.2277025210987475,0.014445601962506771,,-1.0,159,313.0,60.0,0.19169329073482427,0.12631578947368416,False,0.2752808988764045,0.09821428571428571,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.976,976,True,0.2277025210987475,0.2277025210987475,0.014109795913100243,,-1.0,159,313.0,60.0,0.19169329073482427,0.12210526315789472,False,0.2752808988764045,0.09821428571428571,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,,-1,True,,0.637095015396902,0.0018387995660305023,,,475,,,0.5910543130990416,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.976,976,True,0.2277025210987475,0.2277025210987475,0.014109795913100243,,-1.0,159,313.0,60.0,0.19169329073482427,0.12210526315789472,False,0.2752808988764045,0.09821428571428571,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.968,968,True,0.25791078243908433,0.25791078243908433,0.011956223286688328,,-1.0,159,313.0,70.0,0.22364217252396165,0.12210526315789472,False,0.3258426966292135,0.10714285714285714,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,,-1,True,,0.637095015396902,0.0018387995660305023,,,475,,,0.5910543130990416,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,159,313.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.986,986,True,0.27189700585927,0.27189700585927,0.018854185938835144,,-1.0,159,313.0,72.0,0.23003194888178913,0.11999999999999988,False,0.3202247191011236,0.13392857142857142,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,,-1,True,,0.7573955045653159,0.0018387995660305023,,,475,,,0.6932907348242812,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
,,,0.994,994,True,0.17407407407407408,0.17407407407407408,0.02859562635421753,,-1.0,159,313.0,45.0,0.14376996805111822,0.08631578947368423,False,0.1853932584269663,0.10714285714285714,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal25,11
