fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,282,719.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,0.998,998,True,0.02934819317798041,0.02934819317798041,0.03768719360232353,,-1.0,282,719.0,21.0,0.02920723226703755,0.2126315789473684,False,0.045662100456621,0.004424778761061947,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,,-1,True,,0.6294959473150963,0.0027294813189655542,,,475,,,0.5785813630041725,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,0.998,998,True,0.02934819317798041,0.02934819317798041,0.03768719360232353,,-1.0,282,719.0,21.0,0.02920723226703755,0.2126315789473684,False,0.045662100456621,0.004424778761061947,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,0.996,996,True,0.061617696724079705,0.061617696724079705,0.02779252640902996,,-1.0,282,719.0,38.0,0.05285118219749652,0.1978947368421053,False,0.07990867579908675,0.01327433628318584,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,,-1,True,,0.6294959473150963,0.0027294813189655542,,,475,,,0.5785813630041725,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,0.993,993,True,0.09338905775075988,0.09338905775075988,0.021425118669867516,,-1.0,282,719.0,61.0,0.08484005563282336,0.16421052631578947,False,0.1278538812785388,0.022123893805309734,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,0.972,972,True,0.28125914668467855,0.2812591466846786,0.01091968733817339,,-1.0,282,719.0,161.0,0.2239221140472879,0.16421052631578947,False,0.3310502283105023,0.07079646017699115,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,,-1,True,,0.6294959473150963,0.0027294813189655542,,,475,,,0.5785813630041725,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,282,719.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,282,719.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,,-1,True,,0.7244666779241248,0.0027294813189655542,,,475,,,0.6787204450625869,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,282,719.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,0.999,999,True,0.03791793313069909,0.03791793313069909,0.05007409304380417,,-1.0,282,719.0,25.0,0.03477051460361613,0.19999999999999996,False,0.0502283105022831,0.01327433628318584,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
,,,,-1,True,,0.7244666779241248,0.0027294813189655542,,,475,,,0.6787204450625869,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_snow_targetcal25,15
