lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
1.0,1000,False,0.0,0.0,1.0,0.6555555555555556,155,311.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
0.991,991,True,0.11602150537634409,0.11602150537634409,0.02307174913585186,0.6555555555555556,155,311.0,0.11777777777777777,False,0.13333333333333333,0.05454545454545454,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
,-1,True,,0.6513856394501555,0.0017823923844844103,,450,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,0.5980707395498392
0.991,991,True,0.11602150537634409,0.11602150537634409,0.02307174913585186,0.6555555555555556,155,311.0,0.11777777777777777,False,0.13333333333333333,0.05454545454545454,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
0.98,980,True,0.20400882271850013,0.20400882271850013,0.015179483219981194,15.913333333333334,155,311.0,0.10888888888888892,False,0.2388888888888889,0.1,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
,-1,True,,0.6513856394501555,0.0017823923844844103,,450,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,0.5980707395498392
0.98,980,True,0.20400882271850013,0.20400882271850013,0.015179483219981194,15.913333333333334,155,311.0,0.10888888888888892,False,0.2388888888888889,0.1,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
0.915,915,True,0.45177084564181336,0.4517708456418133,0.006124225910753012,8.04,155,311.0,0.05555555555555547,False,0.5166666666666667,0.22727272727272727,0.047619047619047616,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
,-1,True,,0.6513856394501555,0.0017823923844844103,,450,,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,0.5980707395498392
1.0,1000,False,0.0,0.0,1.0,0.6555555555555556,155,311.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
0.996,996,True,0.13215053763440862,0.13215053763440862,0.03389163315296173,0.6555555555555556,155,311.0,0.1288888888888889,False,0.11666666666666667,0.10909090909090909,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
,-1,True,,0.7769411950057111,0.0017823923844844103,,450,,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,0.707395498392283
0.996,996,True,0.13215053763440862,0.13215053763440862,0.03389163315296173,0.6555555555555556,155,311.0,0.1288888888888889,False,0.11666666666666667,0.10909090909090909,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
0.992,992,True,0.20293355390129583,0.20293355390129583,0.02445351518690586,0.6555555555555556,155,311.0,0.12,False,0.21666666666666667,0.12727272727272726,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
,-1,True,,0.7769411950057111,0.0017823923844844103,,450,,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,0.707395498392283
0.992,992,True,0.20293355390129583,0.20293355390129583,0.02445351518690586,0.6555555555555556,155,311.0,0.12,False,0.21666666666666667,0.12727272727272726,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
0.965,965,True,0.42919020048052303,0.42919020048052314,0.010995487682521343,15.913333333333334,155,311.0,0.09555555555555559,False,0.4777777777777778,0.22727272727272727,0.09523809523809523,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,
,-1,True,,0.7769411950057111,0.0017823923844844103,,450,,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,15,0.707395498392283
1.0,1000,False,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
1.0,1000,True,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
,-1,True,,0.7884615384615384,0.0002184574113925919,,450,,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,0.8
1.0,1000,False,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
1.0,1000,True,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
,-1,True,,0.7884615384615384,0.0002184574113925919,,450,,,False,,,,,,0,rider,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,0.8
1.0,1000,False,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
1.0,1000,True,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
,-1,True,,0.7884615384615384,0.0002184574113925919,,450,,,False,,,,,,0,rider,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,0.8
1.0,1000,False,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
1.0,1000,True,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
,-1,True,,0.8461538461538461,0.0002184574113925919,,450,,,False,,,,,,0,rider,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,0.8571428571428571
1.0,1000,False,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
1.0,1000,True,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
,-1,True,,0.8461538461538461,0.0002184574113925919,,450,,,False,,,,,,0,rider,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,0.8571428571428571
1.0,1000,False,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
1.0,1000,True,0.0,0.0,1.0,0.9422222222222222,26,35.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,
,-1,True,,0.8461538461538461,0.0002184574113925919,,450,,,False,,,,,,0,rider,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,2,0.8571428571428571
1.0,1000,False,0.0,0.0,1.0,0.8311111111111111,76,144.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,7,
0.999,999,True,0.16591478696741854,0.16591478696741854,0.027735859155654907,0.8311111111111111,76,144.0,0.10222222222222224,False,0.26582278481012656,0.05660377358490566,0.0,,,0,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,7,
,-1,True,,0.7659461152882205,0.0010278914123773575,,450,,,False,,,,,,0,bicycle,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,7,0.7569444444444444
1.0,1000,False,0.0,0.0,1.0,0.8311111111111111,76,144.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,acdc_rain_targetcal50,7,
