fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.963,963,True,0.06658410738403349,0.06658410738403349,0.30295324325561523,,-1.0,289,4501.0,116.0,0.025772050655409908,0.04370669040512465,False,0.08976377952755905,0.01669829222011385,0.012185215272136474,,,0,building,0.05,0.1,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.983,983,True,0.03952771254238845,0.03952771254238845,0.35499581694602966,,-1.0,289,4501.0,60.0,0.013330371028660297,0.04354959766804567,False,0.04251968503937008,0.007969639468690701,0.00974817221770918,,,0,building,0.05,0.1,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.9570000000000001,957,True,0.06868153410911178,0.06868153410911179,0.2940608859062195,,-1.0,289,4501.0,124.0,0.027549433459231283,0.04961512279415614,False,0.09921259842519685,0.0174573055028463,0.012185215272136474,,,0,building,0.05,0.1,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,,-1,True,,0.23276511029956934,0.13404075801372528,,,339,,,0.11730726505221062,,False,,,,,,0,building,0.05,0.1,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.879,879,True,0.12351366326243224,0.12351366326243224,0.20849420130252838,,-1.0,289,4501.0,220.0,0.048878027105087755,0.04937948368853751,False,0.17480314960629922,0.03225806451612903,0.01949634443541836,,,0,building,0.1,0.1,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.925,925,True,0.09768028595331554,0.09768028595331554,0.2555280923843384,,-1.0,289,4501.0,171.0,0.037991557431681845,0.04965875966556699,False,0.13385826771653545,0.025426944971537004,0.015434606011372868,,,0,building,0.1,0.1,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.867,867,True,0.13686199267934707,0.13686199267934707,0.2035817801952362,,-1.0,289,4501.0,238.0,0.05287713841368585,0.052338063570194326,False,0.1921259842519685,0.0349146110056926,0.01949634443541836,,,0,building,0.1,0.1,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,,-1,True,,0.23276511029956934,0.13404075801372528,,,339,,,0.11730726505221062,,False,,,,,,0,building,0.1,0.1,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.5730000000000001,573,True,0.22580014533072873,0.22580014533072867,0.14073559641838074,,-1.0,289,4501.0,489.0,0.10864252388358142,0.052276971950219076,False,0.4330708661417323,0.0698292220113852,0.024370430544272948,,,0,building,0.2,0.1,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.727,727,True,0.1810183701205723,0.1810183701205723,0.16662852466106415,,-1.0,289,4501.0,348.0,0.07731615196622972,0.0494667574313592,False,0.30078740157480316,0.048956356736242886,0.022745735174654752,,,0,building,0.2,0.1,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.5730000000000001,573,True,0.22580014533072873,0.22580014533072867,0.14073559641838074,,-1.0,289,4501.0,489.0,0.10864252388358142,0.052276971950219076,False,0.4330708661417323,0.0698292220113852,0.024370430544272948,,,0,building,0.2,0.1,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,,-1,True,,0.23276511029956934,0.13404075801372528,,,339,,,0.11730726505221062,,False,,,,,,0,building,0.2,0.1,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.983,983,True,0.06905886889050569,0.0690588688905057,0.35499581694602966,,-1.0,289,4501.0,106.0,0.023550322150633192,0.04354959766804567,False,0.06614173228346457,0.0174573055028463,0.01462225832656377,,,0,building,0.05,0.5,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.983,983,True,0.06905886889050569,0.0690588688905057,0.35499581694602966,,-1.0,289,4501.0,106.0,0.023550322150633192,0.04354959766804567,False,0.06614173228346457,0.0174573055028463,0.01462225832656377,,,0,building,0.05,0.5,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.982,982,True,0.06947697731034423,0.06947697731034423,0.3507304787635803,,-1.0,289,4501.0,108.0,0.023994667851588537,0.04354959766804567,False,0.06929133858267716,0.0174573055028463,0.01462225832656377,,,0,building,0.05,0.5,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,,-1,True,,0.3329135522759229,0.13404075801372528,,,339,,,0.18440346589646744,,False,,,,,,0,building,0.05,0.5,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.937,937,True,0.12236298658072242,0.12236298658072242,0.27130523324012756,,-1.0,289,4501.0,224.0,0.049766718506998445,0.049571485922745295,False,0.14960629921259844,0.03795066413662239,0.023558082859463852,,,0,building,0.1,0.5,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.925,925,True,0.13500340394477847,0.13500340394477847,0.2555280923843384,,-1.0,289,4501.0,241.0,0.05354365696511886,0.04965875966556699,False,0.16692913385826771,0.040227703984819736,0.023558082859463852,,,0,building,0.1,0.5,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.934,934,True,0.12261014426732647,0.12261014426732647,0.26772770285606384,,-1.0,289,4501.0,225.0,0.04998889135747612,0.04961512279415614,False,0.14960629921259844,0.038330170777988615,0.023558082859463852,,,0,building,0.1,0.5,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,,-1,True,,0.3329135522759229,0.13404075801372528,,,339,,,0.18440346589646744,,False,,,,,,0,building,0.1,0.5,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.741,741,True,0.22888732576883752,0.22888732576883752,0.16949541866779327,,-1.0,289,4501.0,475.0,0.10553210397689403,0.049388211062819654,False,0.3700787401574803,0.07514231499051234,0.03411860276198213,,,0,building,0.2,0.5,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.727,727,True,0.2323482315613254,0.23234823156132545,0.16662852466106415,,-1.0,289,4501.0,491.0,0.10908686958453677,0.0494667574313592,False,0.3795275590551181,0.07817836812144212,0.03574329813160033,,,0,building,0.2,0.5,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.728,728,True,0.2323482315613254,0.23234823156132545,0.16682375967502594,,-1.0,289,4501.0,491.0,0.10908686958453677,0.0494667574313592,False,0.3795275590551181,0.07817836812144212,0.03574329813160033,,,0,building,0.2,0.5,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,,-1,True,,0.3329135522759229,0.13404075801372528,,,339,,,0.18440346589646744,,False,,,,,,0,building,0.2,0.5,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,279
,,,0.997,997,True,0.04219808490772195,0.04219808490772196,0.4754326641559601,,-1.0,282,1222.0,54.0,0.044189852700491,0.04860274737742404,False,0.21787709497206703,0.029017857142857144,0.0033613445378151263,,,0,water,0.05,0.1,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,285
,,,0.999,999,True,0.011908983451536643,0.011908983451536643,0.5925909876823425,,-1.0,282,1222.0,15.0,0.012274959083469721,0.05436281440365848,False,0.05027932960893855,0.008928571428571428,0.0033613445378151263,,,0,water,0.05,0.1,pixel_crc,segformer_b2_loveda_urban,loveda_urban_val_half,285
,,,0.997,997,True,0.04219808490772195,0.04219808490772196,0.4754326641559601,,-1.0,282,1222.0,54.0,0.044189852700491,0.04860274737742404,False,0.21787709497206703,0.029017857142857144,0.0033613445378151263,,,0,water,0.05,0.1,heuristic,segformer_b2_loveda_urban,loveda_urban_val_half,285
,,,,-1,True,,0.3911833253197458,0.10882072150707245,,,339,,,0.3707037643207856,,False,,,,,,0,water,0.05,0.1,argmax,segformer_b2_loveda_urban,loveda_urban_val_half,285
,,,0.986,986,True,0.1154143514437632,0.11541435144376319,0.32183417677879333,,-1.0,282,1222.0,128.0,0.10474631751227496,0.05575046691452408,False,0.44692737430167595,0.078125,0.021848739495798318,,,0,water,0.1,0.1,region_crc,segformer_b2_loveda_urban,loveda_urban_val_half,285
