lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
0.9500000000000001,950,True,0.07103109710667938,0.07103109710667938,0.1945919543504715,13.684575389948007,481,7235.0,0.09370883882149045,False,0.13141683778234087,0.021916530659827467,0.015212981744421906,,,0,building,0.05,0.1,region_crc,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,
,-1,True,,0.18091715264025027,0.11729243397712708,,577,,,False,,,,,,0,building,0.05,0.1,argmax,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,0.09785763648928818
0.787,787,True,0.12317639168717923,0.12317639168717921,0.1509159356355667,8.192374350086656,481,7235.0,0.07637781629116117,False,0.23305954825462014,0.0373047330380042,0.02281947261663286,,,0,building,0.1,0.1,region_crc,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,
,-1,True,,0.18091715264025027,0.11729243397712708,,577,,,False,,,,,,0,building,0.1,0.1,argmax,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,0.09785763648928818
0.444,444,True,0.2095487320780559,0.2095487320780559,0.10957556217908859,5.140381282495667,481,7235.0,0.08275563258232232,False,0.43121149897330596,0.0783399393798088,0.038539553752535496,,,0,building,0.2,0.1,region_crc,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,
,-1,True,,0.18091715264025027,0.11729243397712708,,577,,,False,,,,,,0,building,0.2,0.1,argmax,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,0.09785763648928818
0.99,990,True,0.06085277461017651,0.06085277461017651,0.24829275906085968,0.1663778162911612,481,7235.0,0.10476603119584052,False,0.09034907597535935,0.024481231056190253,0.019269776876267748,,,0,building,0.05,0.5,region_crc,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,
,-1,True,,0.33211830666011366,0.11729243397712708,,577,,,False,,,,,,0,building,0.05,0.5,argmax,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,0.2063579820317899
0.968,968,True,0.10134468280368117,0.10134468280368117,0.2071809619665146,16.682842287694974,481,7235.0,0.09717504332755633,False,0.1437371663244353,0.03543949638610399,0.0268762677484787,,,0,building,0.1,0.5,region_crc,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,
,-1,True,,0.33211830666011366,0.11729243397712708,,577,,,False,,,,,,0,building,0.1,0.5,argmax,segformer_b2_loveda_rural,loveda_urban_targetcal100,87,0.2063579820317899
