fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.992,992,True,0.061194842103682305,0.06119484210368232,0.14783689379692078,,-1.0,470,5365.0,138.0,0.025722273998136067,0.07856502242152466,False,0.0736949846468782,0.01916741539383049,0.0019065776930409914,,,0,building,0.05,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,,-1,True,,0.5593890247644948,0.022280577570199966,,,892,,,0.4672879776328052,,False,,,,,,0,building,0.05,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,0.983,983,True,0.10843438376341186,0.10843438376341186,0.11552148312330246,,-1.0,470,5365.0,253.0,0.047157502329916126,0.07228699551569506,False,0.14124872057318322,0.033542976939203356,0.002859866539561487,,,0,building,0.1,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,,-1,True,,0.5593890247644948,0.022280577570199966,,,892,,,0.4672879776328052,,False,,,,,,0,building,0.1,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,0.9530000000000001,953,True,0.17979574983616126,0.1797957498361613,0.08590499311685562,,-1.0,470,5365.0,523.0,0.09748369058713886,0.0582511210762332,False,0.2599795291709314,0.07906558849955077,0.004766444232602479,,,0,building,0.2,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,,-1,True,,0.5593890247644948,0.022280577570199966,,,892,,,0.4672879776328052,,False,,,,,,0,building,0.2,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,0.996,996,True,0.059669627378805705,0.059669627378805705,0.19350939989089966,,-1.0,470,5365.0,132.0,0.024603914259086673,0.09856502242152465,False,0.06345957011258956,0.020365378855944895,0.0019065776930409914,,,0,building,0.05,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,,-1,True,,0.6845958987212182,0.022280577570199966,,,892,,,0.6216216216216216,,False,,,,,,0,building,0.05,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,0.991,991,True,0.10404562680481216,0.10404562680481216,0.14183591306209564,,-1.0,470,5365.0,257.0,0.04790307548928239,0.08426008968609865,False,0.12282497441146366,0.03923330338424678,0.005719733079122974,,,0,building,0.1,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,,-1,True,,0.6845958987212182,0.022280577570199966,,,892,,,0.6216216216216216,,False,,,,,,0,building,0.1,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,0.974,974,True,0.186885033671847,0.186885033671847,0.10201210528612137,,-1.0,470,5365.0,543.0,0.10121155638397018,0.06852017937219734,False,0.23029682702149437,0.09164420485175202,0.011439466158245948,,,0,building,0.2,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,,-1,True,,0.6845958987212182,0.022280577570199966,,,892,,,0.6216216216216216,,False,,,,,,0,building,0.2,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,51
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,763,2587.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,water,0.05,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,,-1,True,,0.624492030545007,0.053819041699171066,,,892,,,0.572091225357557,,False,,,,,,0,water,0.05,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,763,2587.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,water,0.1,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,,-1,True,,0.624492030545007,0.053819041699171066,,,892,,,0.572091225357557,,False,,,,,,0,water,0.1,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,0.995,995,True,0.21137055176166716,0.2113705517616672,0.20647157728672028,,-1.0,763,2587.0,445.0,0.1720139157325087,0.07556053811659191,False,0.5,0.19553805774278216,0.09442622950819672,,,0,water,0.2,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,,-1,True,,0.624492030545007,0.053819041699171066,,,892,,,0.572091225357557,,False,,,,,,0,water,0.2,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,763,2587.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,water,0.05,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,,-1,True,,0.7299308977794181,0.053819041699171066,,,892,,,0.68689601855431,,False,,,,,,0,water,0.05,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,763,2587.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,water,0.1,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,,-1,True,,0.7299308977794181,0.053819041699171066,,,892,,,0.68689601855431,,False,,,,,,0,water,0.1,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,0.999,999,True,0.17861456831243686,0.17861456831243686,0.3426418900489807,,-1.0,763,2587.0,358.0,0.13838422883649015,0.07035874439461887,False,0.35333333333333333,0.15091863517060367,0.0898360655737705,,,0,water,0.2,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,,-1,True,,0.7299308977794181,0.053819041699171066,,,892,,,0.68689601855431,,False,,,,,,0,water,0.2,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,85
,,,0.999,999,True,0.0060713133016824915,0.006071313301682492,0.37940308451652527,,-1.0,464,5231.0,7.0,0.0013381762569298413,0.12874439461883405,False,0.002053388090349076,0.0012232415902140672,0.0010131712259371835,,,1,building,0.05,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,,-1,True,,0.5699144846519056,0.02127685956656933,,,892,,,0.47467023513668516,,False,,,,,,1,building,0.05,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,0.994,994,True,0.04341938199453723,0.04341938199453722,0.15934443473815918,,-1.0,464,5231.0,95.0,0.01816096348690499,0.1350224215246636,False,0.055441478439425054,0.012232415902140673,0.0010131712259371835,,,1,building,0.1,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,,-1,True,,0.5699144846519056,0.02127685956656933,,,892,,,0.47467023513668516,,False,,,,,,1,building,0.1,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,0.97,970,True,0.1358014117476286,0.1358014117476286,0.09209021180868149,,-1.0,464,5231.0,372.0,0.07111450965398586,0.12547085201793717,False,0.19815195071868583,0.05382262996941896,0.00303951367781155,,,1,building,0.2,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,,-1,True,,0.5699144846519056,0.02127685956656933,,,892,,,0.47467023513668516,,False,,,,,,1,building,0.2,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,464,5231.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,building,0.05,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,,-1,True,,0.694648194581626,0.02127685956656933,,,892,,,0.6258841521697572,,False,,,,,,1,building,0.05,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,0.996,996,True,0.05433159117370692,0.05433159117370692,0.18943142890930176,,-1.0,464,5231.0,121.0,0.02313133244121583,0.1296860986547085,False,0.059548254620123205,0.018654434250764525,0.002026342451874367,,,1,building,0.1,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,,-1,True,,0.694648194581626,0.02127685956656933,,,892,,,0.6258841521697572,,False,,,,,,1,building,0.1,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,0.986,986,True,0.12774490227778487,0.12774490227778487,0.11672995984554291,,-1.0,464,5231.0,345.0,0.06595297266297075,0.12313901345291478,False,0.1601642710472279,0.05565749235474006,0.0070921985815602835,,,1,building,0.2,0.5,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,,-1,True,,0.694648194581626,0.02127685956656933,,,892,,,0.6258841521697572,,False,,,,,,1,building,0.2,0.5,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,57
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,765,2565.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,water,0.05,0.1,region_crc,segformer_b2_loveda_urban,loveda_rural_targetcal100,83
,,,,-1,True,,0.6218992917032132,0.05404970049858093,,,892,,,0.5695906432748538,,False,,,,,,1,water,0.05,0.1,argmax,segformer_b2_loveda_urban,loveda_rural_targetcal100,83
