fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,259.00001525878906,0.6069802590868228,0,building,0.05,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,259
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,259.00001525878906,0.6069802590868228,0,building,0.1,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,259
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,259.00001525878906,0.6069802590868228,0,building,0.2,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,259
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,259.00001525878906,0.6069802590868228,0,building,0.05,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,259
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,259.00001525878906,0.6069802590868228,0,building,0.1,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,259
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,259.00001525878906,0.6069802590868228,0,building,0.2,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,259
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,426.000146865862,0.484261465427392,0,water,0.05,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,426
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,426.000146865862,0.484261465427392,0,water,0.1,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,426
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,426.000146865862,0.484261465427392,0,water,0.2,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,426
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,426.000146865862,0.484261465427392,0,water,0.05,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,426
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,426.000146865862,0.484261465427392,0,water,0.1,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,426
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,426.000146865862,0.484261465427392,0,water,0.2,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,426
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,254.0000343322768,0.6116207808370145,1,building,0.05,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,254
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,254.0000343322768,0.6116207808370145,1,building,0.1,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,254
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,254.0000343322768,0.6116207808370145,1,building,0.2,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,254
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,254.0000343322768,0.6116207808370145,1,building,0.05,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,254
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,254.0000343322768,0.6116207808370145,1,building,0.1,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,254
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,254.0000343322768,0.6116207808370145,1,building,0.2,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,254
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,424.0001296997208,0.4854368617413527,1,water,0.05,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,424
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,424.0001296997208,0.4854368617413527,1,water,0.1,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,424
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,424.0001296997208,0.4854368617413527,1,water,0.2,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,424
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,424.0001296997208,0.4854368617413527,1,water,0.05,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,424
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,424.0001296997208,0.4854368617413527,1,water,0.1,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,424
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,424.0001296997208,0.4854368617413527,1,water,0.2,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,424
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,268.0000305175781,0.5988023678532963,2,building,0.05,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,268
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,268.0000305175781,0.5988023678532963,2,building,0.1,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,268
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,268.0000305175781,0.5988023678532963,2,building,0.2,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,268
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,268.0000305175781,0.5988023678532963,2,building,0.05,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,268
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,268.0000305175781,0.5988023678532963,2,building,0.1,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,268
,,,1.0,1000,False,0.0,0.0,1.0,,-1,568,8571,0,0.0,0.0,False,0.0,0.0,0.0,268.0000305175781,0.5988023678532963,2,building,0.2,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,268
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,415.00019073489483,0.4907975000676348,2,water,0.05,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,415
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,415.00019073489483,0.4907975000676348,2,water,0.1,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,415
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,415.00019073489483,0.4907975000676348,2,water,0.2,0.1,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,415
,,,1.0,1000,False,0.0,0.0,1.0,,-1,567,2448,0,0.0,0.0,False,0.0,0.0,0.0,415.00019073489483,0.4907975000676348,2,water,0.05,0.5,weighted_crc,segformer_b2_loveda_rural,loveda_rural_val_half,415
