setting,label,experiment,model,scheme,class_name,n_cells,n_test_images_full,alpha,rho,n_permutations,budget,no_review_rate,residual_area,area_rel,q05_rel,q50_rel,q95_rel,closed_form_rel,single_random_rel,below_band
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.0,0.07044037670778618,0.07044037670778618,1.0,1.0,1.0,1.0,1.0,0.999999999999999,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.05,0.07044037670778618,0.06691205730202945,0.9499105545617175,0.8813671029093306,0.9604557009697768,1.0,0.95,0.999999999999999,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.1,0.07044037670778618,0.06488924260512005,0.9211938612183411,0.8152716316731003,0.9077299689294792,0.9802278504848885,0.9,0.999999999999999,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.15,0.07044037670778618,0.06230269266480966,0.884474154975991,0.7455795122869786,0.8615949533942189,0.9505931644854533,0.85,0.9604557009697766,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.2,0.07044037670778618,0.06230269266480966,0.884474154975991,0.6824310328594293,0.8088692213539214,0.9152622163638073,0.8,0.8477544487336399,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.25,0.07044037670778618,0.0617455896007428,0.8765652951699463,0.6280717446568119,0.7622634403540156,0.8762828358911591,0.75,0.7912625929761785,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.3,0.07044037670778618,0.05803156917363045,0.8238395631296488,0.5709208172488466,0.7069484982581679,0.8400574333866868,0.7,0.7121739949157325,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.35,0.07044037670778618,0.053853296193129056,0.764523114584314,0.5175501365219848,0.6567178231804915,0.7900574333866867,0.65,0.6726296958855089,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.4,0.07044037670778618,0.04874651810584958,0.6920252330289051,0.4650127106675455,0.6065342246492796,0.7396666980510309,0.6,0.6594482628754343,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.45,0.07044037670778618,0.04874651810584958,0.6920252330289051,0.4035307409848414,0.5612465869503813,0.6974531588362677,0.55,0.6199039638452121,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,all_classes,1,359,0.2,0.5,1000,0.5,0.07044037670778618,0.036211699164345405,0.5140758873929009,0.3623999623387628,0.5055079559363526,0.6469259015158647,0.5,0.5803596648149884,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.0,0.07044037670778618,0.07044037670778618,1.0,1.0,1.0,1.0,1.0,0.999999999999999,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.05,0.07044037670778618,0.06691205730202945,0.9499105545617175,0.8813671029093306,0.9604557009697768,1.0,0.95,0.999999999999999,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.1,0.07044037670778618,0.06488924260512005,0.9211938612183411,0.8152716316731003,0.9077299689294792,0.9802278504848885,0.9,0.999999999999999,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.15,0.07044037670778618,0.06230269266480966,0.884474154975991,0.7455795122869786,0.8615949533942189,0.9505931644854533,0.85,0.9604557009697766,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.2,0.07044037670778618,0.06230269266480966,0.884474154975991,0.6824310328594293,0.8088692213539214,0.9152622163638073,0.8,0.8477544487336399,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.25,0.07044037670778618,0.0617455896007428,0.8765652951699463,0.6280717446568119,0.7622634403540156,0.8762828358911591,0.75,0.7912625929761785,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.3,0.07044037670778618,0.05803156917363045,0.8238395631296488,0.5709208172488466,0.7069484982581679,0.8400574333866868,0.7,0.7121739949157325,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.35,0.07044037670778618,0.053853296193129056,0.764523114584314,0.5175501365219848,0.6567178231804915,0.7900574333866867,0.65,0.6726296958855089,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.4,0.07044037670778618,0.04874651810584958,0.6920252330289051,0.4650127106675455,0.6065342246492796,0.7396666980510309,0.6,0.6594482628754343,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.45,0.07044037670778618,0.04874651810584958,0.6920252330289051,0.4035307409848414,0.5612465869503813,0.6974531588362677,0.55,0.6199039638452121,False
official,MARIDA official,x3_triage__official__marida_unet_official_holdout_ens5,marida_unet_official_holdout_ens5,marida_official_holdout,marine_debris,1,359,0.2,0.5,1000,0.5,0.07044037670778618,0.036211699164345405,0.5140758873929009,0.3623999623387628,0.5055079559363526,0.6469259015158647,0.5,0.5803596648149884,False
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.0,0.025054886523721447,0.025054886523721447,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999982,False
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.05,0.025054886523721447,0.023937151799429346,0.9553885537165034,0.8729056588780559,0.9619547406153732,1.0,0.95,0.9405180716220028,False
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.1,0.025054886523721447,0.019714598396548075,0.7868564233121832,0.7992104919056207,0.9069032843663728,0.9900863452703342,0.9,0.8470464698851512,True
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.15,0.025054886523721447,0.018271457802009217,0.7292572562525949,0.7260998821832307,0.8522511386182293,0.9581775737889892,0.85,0.7756681558315591,False
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.2,0.025054886523721447,0.016293927135953963,0.6503293128279471,0.6529657568780021,0.8015015950719169,0.917242851363311,0.8,0.7424282546791472,True
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.25,0.025054886523721447,0.01569151166766666,0.6262854813894392,0.5989040552860005,0.7520893055015017,0.8820210712788398,0.75,0.7275577725846484,False
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.3,0.025054886523721447,0.01321410829607551,0.5274064316182261,0.5386255900632987,0.6956186126085762,0.8403815236553861,0.7,0.7077304631253193,True
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.35,0.025054886523721447,0.009736711376055638,0.3886152654029034,0.4902512441805633,0.6486260569960287,0.7961503508243576,0.65,0.7023230150909557,True
region_16PCC,Held-out 16PCC,x3_triage__region_16PCC__marida_unet_holdout_region_16PCC,marida_unet_holdout_region_16PCC,marida_holdout_region_16PCC,all_classes,1,671,0.2,0.5,1000,0.4,0.025054886523721447,0.009438648782911077,0.3767188797273043,0.43732831665624206,0.5958277040946798,0.7544041150434861,0.6,0.6577115688074592,True
