fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,0.43169398907103823,1000.0,208,499.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.999,999,True,0.033012820512820513,0.033012820512820513,0.03825056180357933,27.69672131147541,999.0,208,499.0,17.0,0.03406813627254509,0.06765027322404371,False,0.05067567567567568,0.0125,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,,-1,True,,0.6475789835164835,0.003028354374691844,,,366,,,0.5951903807615231,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.995,995,True,0.13060897435897434,0.13060897435897434,0.020269734784960747,17.885245901639344,995.0,208,499.0,55.0,0.11022044088176353,0.0721311475409836,False,0.16554054054054054,0.03125,0.023255813953488372,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.995,995,True,0.13060897435897434,0.13060897435897434,0.020269734784960747,17.885245901639344,995.0,208,499.0,55.0,0.11022044088176353,0.0721311475409836,False,0.16554054054054054,0.03125,0.023255813953488372,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,,-1,True,,0.6475789835164835,0.003028354374691844,,,366,,,0.5951903807615231,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.988,988,True,0.21570512820512822,0.21570512820512816,0.014026740565896034,12.614754098360656,988.0,208,499.0,87.0,0.1743486973947896,0.13065573770491803,False,0.25,0.075,0.023255813953488372,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.985,985,True,0.23373397435897436,0.23373397435897436,0.012743678875267506,11.57103825136612,985.0,208,499.0,94.0,0.18837675350701402,0.1251912568306011,False,0.27364864864864863,0.075,0.023255813953488372,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,,-1,True,,0.6475789835164835,0.003028354374691844,,,366,,,0.5951903807615231,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,1.0,1000,True,0.0,0.0,1.0,0.43169398907103823,1000.0,208,499.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,1.0,1000,True,0.0,0.0,1.0,0.43169398907103823,1000.0,208,499.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,,-1,True,,0.7176720848595848,0.003028354374691844,,,366,,,0.6693386773547094,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.999,999,True,0.07788461538461539,0.07788461538461539,0.03825056180357933,27.69672131147541,999.0,208,499.0,38.0,0.07615230460921844,0.06765027322404371,False,0.10472972972972973,0.0375,0.023255813953488372,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.999,999,True,0.07788461538461539,0.07788461538461539,0.03825056180357933,27.69672131147541,999.0,208,499.0,38.0,0.07615230460921844,0.06765027322404371,False,0.10472972972972973,0.0375,0.023255813953488372,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,,-1,True,,0.7176720848595848,0.003028354374691844,,,366,,,0.6693386773547094,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.996,996,True,0.2132135225885226,0.21321352258852258,0.022215425968170166,19.442622950819672,996.0,208,499.0,89.0,0.17835671342685372,0.06316939890710382,False,0.2533783783783784,0.08125,0.023255813953488372,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,0.995,995,True,0.2248321123321123,0.22483211233211234,0.020269734784960747,17.885245901639344,995.0,208,499.0,94.0,0.18837675350701402,0.0721311475409836,False,0.2668918918918919,0.0875,0.023255813953488372,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,,-1,True,,0.7176720848595848,0.003028354374691844,,,366,,,0.6693386773547094,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,68
,,,1.0,1000,False,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,,-1,True,,0.7678571428571429,0.00014303151692729443,,,366,,,0.8,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,,-1,True,,0.7678571428571429,0.00014303151692729443,,,366,,,0.8,,False,,,,,,0,rider,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,,-1,True,,0.7678571428571429,0.00014303151692729443,,,366,,,0.8,,False,,,,,,0,rider,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,False,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,,-1,True,,0.8214285714285714,0.00014303151692729443,,,366,,,0.8571428571428571,,False,,,,,,0,rider,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,,-1,True,,0.8214285714285714,0.00014303151692729443,,,366,,,0.8571428571428571,,False,,,,,,0,rider,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.9234972677595629,1000.0,28,35.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,,-1,True,,0.8214285714285714,0.00014303151692729443,,,366,,,0.8571428571428571,,False,,,,,,0,rider,0.2,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,10
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,,-1,True,,0.6681481481481482,0.0007743535097688437,,,366,,,0.6565656565656566,,False,,,,,,0,bicycle,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,,-1,True,,0.6681481481481482,0.0007743535097688437,,,366,,,0.6565656565656566,,False,,,,,,0,bicycle,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,,-1,True,,0.6681481481481482,0.0007743535097688437,,,366,,,0.6565656565656566,,False,,,,,,0,bicycle,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,,-1,True,,0.763915343915344,0.0007743535097688437,,,366,,,0.7373737373737373,,False,,,,,,0,bicycle,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,,-1,True,,0.763915343915344,0.0007743535097688437,,,366,,,0.7373737373737373,,False,,,,,,0,bicycle,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,1.0,1000,True,0.0,0.0,1.0,0.8770491803278688,1000.0,45,99.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,,-1,True,,0.763915343915344,0.0007743535097688437,,,366,,,0.7373737373737373,,False,,,,,,0,bicycle,0.2,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,29
,,,0.999,999,True,0.03569150148097516,0.03569150148097516,0.036576736718416214,26.85434173669468,999.0,209,536.0,19.0,0.03544776119402985,0.08078431372549022,False,0.047619047619047616,0.017964071856287425,0.0,,,1,person,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.999,999,True,0.03569150148097516,0.03569150148097516,0.036576736718416214,26.85434173669468,999.0,209,536.0,19.0,0.03544776119402985,0.08078431372549022,False,0.047619047619047616,0.017964071856287425,0.0,,,1,person,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,,-1,True,,0.6419837472469052,0.0025204666890203953,,,357,,,0.6007462686567164,,False,,,,,,1,person,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.998,998,True,0.049806334016860326,0.049806334016860326,0.02799348719418049,22.5406162464986,998.0,209,536.0,27.0,0.05037313432835821,0.07358543417366947,False,0.07142857142857142,0.017964071856287425,0.0,,,1,person,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.997,997,True,0.07532467532467532,0.07532467532467532,0.023797476664185524,20.126050420168067,997.0,209,536.0,37.0,0.06902985074626866,0.07823529411764707,False,0.09523809523809523,0.029940119760479042,0.0,,,1,person,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,,-1,True,,0.6419837472469052,0.0025204666890203953,,,357,,,0.6007462686567164,,False,,,,,,1,person,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.992,992,True,0.13586238323080427,0.13586238323080427,0.015747923403978348,14.815126050420169,992.0,209,536.0,70.0,0.13059701492537312,0.07238095238095243,False,0.18154761904761904,0.04790419161676647,0.030303030303030304,,,1,person,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.991,991,True,0.14955191007822588,0.14955191007822588,0.014956366270780563,14.100840336134453,991.0,209,536.0,78.0,0.1455223880597015,0.07464985994397755,False,0.20238095238095238,0.05389221556886228,0.030303030303030304,,,1,person,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,,-1,True,,0.6419837472469052,0.0025204666890203953,,,357,,,0.6007462686567164,,False,,,,,,1,person,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,1.0,1000,True,0.0,0.0,1.0,0.41456582633053224,1000.0,209,536.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,1.0,1000,True,0.0,0.0,1.0,0.41456582633053224,1000.0,209,536.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,,-1,True,,0.7340472393103972,0.0025204666890203953,,,357,,,0.6958955223880597,,False,,,,,,1,person,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.999,999,True,0.0829004329004329,0.0829004329004329,0.036576736718416214,26.85434173669468,999.0,209,536.0,42.0,0.07835820895522388,0.08078431372549022,False,0.10416666666666667,0.03592814371257485,0.030303030303030304,,,1,person,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.999,999,True,0.0829004329004329,0.0829004329004329,0.036576736718416214,26.85434173669468,999.0,209,536.0,42.0,0.07835820895522388,0.08078431372549022,False,0.10416666666666667,0.03592814371257485,0.030303030303030304,,,1,person,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,,-1,True,,0.7340472393103972,0.0025204666890203953,,,357,,,0.6958955223880597,,False,,,,,,1,person,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.998,998,True,0.12358168147641832,0.12358168147641832,0.02799348719418049,22.5406162464986,998.0,209,536.0,62.0,0.11567164179104478,0.07358543417366947,False,0.1636904761904762,0.03592814371257485,0.030303030303030304,,,1,person,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,0.998,998,True,0.12358168147641832,0.12358168147641832,0.02799348719418049,22.5406162464986,998.0,209,536.0,62.0,0.11567164179104478,0.07358543417366947,False,0.1636904761904762,0.03592814371257485,0.030303030303030304,,,1,person,0.2,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,,-1,True,,0.7340472393103972,0.0025204666890203953,,,357,,,0.6958955223880597,,False,,,,,,1,person,0.2,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,63
,,,1.0,1000,False,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,,-1,True,,0.7727272727272727,0.0001399803877575323,,,357,,,0.8064516129032258,,False,,,,,,1,rider,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,False,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,,-1,True,,0.7727272727272727,0.0001399803877575323,,,357,,,0.8064516129032258,,False,,,,,,1,rider,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,,-1,True,,0.7727272727272727,0.0001399803877575323,,,357,,,0.8064516129032258,,False,,,,,,1,rider,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,False,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,,-1,True,,0.8409090909090909,0.0001399803877575323,,,357,,,0.8709677419354839,,False,,,,,,1,rider,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,False,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,,-1,True,,0.8409090909090909,0.0001399803877575323,,,357,,,0.8709677419354839,,False,,,,,,1,rider,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
,,,1.0,1000,True,0.0,0.0,1.0,0.938375350140056,1000.0,22,31.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_snow_targetcal100_seqdisjoint,8
