fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,0.6171284634760705,1000.0,152,310.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.987,987,True,0.18044590643274852,0.18044590643274852,0.015513692982494831,13.103274559193954,987.0,152,310.0,49.0,0.15806451612903225,0.2955163727959698,False,0.22777777777777777,0.07407407407407407,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,True,,0.6351849174217595,0.0021290818694978952,,,397,,,0.5774193548387097,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,1.0,1000,False,0.0,0.0,1.0,0.6171284634760705,1000.0,152,310.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.987,987,True,0.18044590643274852,0.18044590643274852,0.015513692982494831,13.103274559193954,987.0,152,310.0,49.0,0.15806451612903225,0.2955163727959698,False,0.22777777777777777,0.07407407407407407,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,True,,0.6351849174217595,0.0021290818694978952,,,397,,,0.5774193548387097,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.987,987,True,0.18044590643274852,0.18044590643274852,0.015513692982494831,13.103274559193954,987.0,152,310.0,49.0,0.15806451612903225,0.2955163727959698,False,0.22777777777777777,0.07407407407407407,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.977,977,True,0.23073268106162842,0.23073268106162842,0.011854864656925201,10.554156171284635,977.0,152,310.0,64.0,0.2064516129032258,0.27818639798488665,False,0.2722222222222222,0.1388888888888889,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,True,,0.6351849174217595,0.0021290818694978952,,,397,,,0.5774193548387097,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,1.0,1000,False,0.0,0.0,1.0,0.6171284634760705,1000.0,152,310.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.996,996,True,0.14243421052631577,0.14243421052631577,0.025821560993790627,19.105793450881613,996.0,152,310.0,40.0,0.12903225806451613,0.25863979848866503,False,0.17222222222222222,0.08333333333333333,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,True,,0.7522536308720519,0.0021290818694978952,,,397,,,0.6935483870967742,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,1.0,1000,False,0.0,0.0,1.0,0.6171284634760705,1000.0,152,310.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.996,996,True,0.14243421052631577,0.14243421052631577,0.025821560993790627,19.105793450881613,996.0,152,310.0,40.0,0.12903225806451613,0.25863979848866503,False,0.17222222222222222,0.08333333333333333,0.0,,,0,person,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,True,,0.7522536308720519,0.0021290818694978952,,,397,,,0.6935483870967742,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.996,996,True,0.14243421052631577,0.14243421052631577,0.025821560993790627,19.105793450881613,996.0,152,310.0,40.0,0.12903225806451613,0.25863979848866503,False,0.17222222222222222,0.08333333333333333,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,0.991,991,True,0.24680892937471882,0.24680892937471882,0.018276304006576538,14.861460957178842,991.0,152,310.0,70.0,0.22580645161290322,0.28795969773299757,False,0.2833333333333333,0.17592592592592593,0.0,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,True,,0.7522536308720519,0.0021290818694978952,,,397,,,0.6935483870967742,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,5
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,True,,0.8035714285714286,0.00030667168903164566,,,397,,,0.8157894736842105,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,True,,0.8035714285714286,0.00030667168903164566,,,397,,,0.8157894736842105,,False,,,,,,0,rider,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,True,,0.8035714285714286,0.00030667168903164566,,,397,,,0.8157894736842105,,False,,,,,,0,rider,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,True,,0.8571428571428571,0.00030667168903164566,,,397,,,0.868421052631579,,False,,,,,,0,rider,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,True,,0.8571428571428571,0.00030667168903164566,,,397,,,0.868421052631579,,False,,,,,,0,rider,0.1,0.5,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,False,,,,,-1.0,397,,,,,False,,,,,,0,rider,0.2,0.5,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,,-1,True,,0.8571428571428571,0.00030667168903164566,,,397,,,0.868421052631579,,False,,,,,,0,rider,0.2,0.5,argmax,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,0
,,,1.0,1000,False,0.0,0.0,1.0,0.836272040302267,1000.0,65,116.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,6
,,,1.0,1000,True,0.0,0.0,1.0,0.836272040302267,1000.0,65,116.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_rain_targetcal25_seqdisjoint,6
