fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,0.5153508771929824,1000.0,221,781.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,0.998,998,True,0.03843068696009872,0.03843068696009872,0.0486299954354763,15.214912280701755,998.0,221,781.0,37.0,0.04737516005121639,0.11192982456140355,False,0.06415094339622641,0.013636363636363636,0.0,,,0,person,0.05,0.1,heuristic,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,,-1,True,,0.5822975352952728,0.003910034894943237,,,456,,,0.5467349551856594,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,0.998,998,True,0.03843068696009872,0.03843068696009872,0.0486299954354763,15.214912280701755,998.0,221,781.0,37.0,0.04737516005121639,0.11192982456140355,False,0.06415094339622641,0.013636363636363636,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,0.997,997,True,0.057176646882529235,0.057176646882529235,0.04278138279914856,14.484649122807017,997.0,221,781.0,44.0,0.056338028169014086,0.11657894736842106,False,0.07547169811320754,0.01818181818181818,0.0,,,0,person,0.1,0.1,heuristic,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,,-1,True,,0.5822975352952728,0.003910034894943237,,,456,,,0.5467349551856594,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,0.992,992,True,0.10985044367397309,0.10985044367397308,0.030479637905955315,12.484649122807017,992.0,221,781.0,79.0,0.10115236875800256,0.12894736842105264,False,0.14150943396226415,0.01818181818181818,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,0.991,991,True,0.11399825664531546,0.11399825664531546,0.029174402356147766,12.182017543859649,991.0,221,781.0,82.0,0.10499359795134443,0.12456140350877193,False,0.14528301886792452,0.022727272727272728,0.0,,,0,person,0.2,0.1,heuristic,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,,-1,True,,0.5822975352952728,0.003910034894943237,,,456,,,0.5467349551856594,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,1.0,1000,True,0.0,0.0,1.0,0.5153508771929824,1000.0,221,781.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,1.0,1000,True,0.0,0.0,1.0,0.5153508771929824,1000.0,221,781.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
,,,,-1,True,,0.6748872859166977,0.003910034894943237,,,456,,,0.647887323943662,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes,acdc_night_targetcal50_seqdisjoint,26
