fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,0.2,1000,200,1321,0,0.0,0.0,False,0.0,0.0,0.0,177.2504797960288,0.142819754987552,0,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.041333224158882055,0.041333224158882055,0.05578656122088432,15.916,999,200,1321,45,0.03406510219530658,0.04400000000000004,False,0.059593023255813955,0.008298755186721992,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,1.0,1000,False,0.0,0.0,1.0,0.2,1000,200,1321,0,0.0,0.0,False,0.0,0.0,0.0,177.2504797960288,0.142819754987552,0,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.991,991,True,0.14241968764666132,0.14241968764666132,0.03494212031364441,8.788,991,200,1321,136,0.10295230885692658,0.052000000000000046,False,0.17732558139534885,0.029045643153526972,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.997,997,True,0.07994404572036151,0.0799440457203615,0.04420825466513634,12.248,997,200,1321,75,0.05677517032551098,0.04400000000000004,False,0.09738372093023256,0.016597510373443983,0.0,177.2504797960288,0.142819754987552,0,person,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.972,972,True,0.2214279977776495,0.2214279977776495,0.027271298691630363,5.904,972,200,1321,233,0.17638152914458743,0.06000000000000005,False,0.29505813953488375,0.06224066390041494,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,1.0,1000,False,0.0,0.0,1.0,0.2,1000,200,1321,0,0.0,0.0,False,0.0,0.0,0.0,177.2504797960288,0.142819754987552,0,person,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.06205291163514847,0.06205291163514847,0.05578656122088432,15.916,999,200,1321,63,0.04769114307342922,0.04400000000000004,False,0.07703488372093023,0.02074688796680498,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,1.0,1000,False,0.0,0.0,1.0,0.2,1000,200,1321,0,0.0,0.0,False,0.0,0.0,0.0,177.2504797960288,0.142819754987552,0,person,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.998,998,True,0.10583484911774384,0.10583484911774384,0.04817335307598114,13.516,998,200,1321,92,0.0696442089326268,0.04400000000000004,False,0.11337209302325581,0.029045643153526972,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
