fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.478565602848304,0.012952741235494614,,,250,,,0.47009841029523086,,False,,,,,,0,person,0.05,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.478565602848304,0.012952741235494614,,,250,,,0.47009841029523086,,False,,,,,,0,person,0.1,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.478565602848304,0.012952741235494614,,,250,,,0.47009841029523086,,False,,,,,,0,person,0.2,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.5754631636638216,0.012952741235494614,,,250,,,0.5760787282361847,,False,,,,,,0,person,0.05,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.5754631636638216,0.012952741235494614,,,250,,,0.5760787282361847,,False,,,,,,0,person,0.1,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.5754631636638216,0.012952741235494614,,,250,,,0.5760787282361847,,False,,,,,,0,person,0.2,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.6556469104088151,0.001589498482644558,,,250,,,0.6802325581395349,,False,,,,,,0,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.6556469104088151,0.001589498482644558,,,250,,,0.6802325581395349,,False,,,,,,0,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.6556469104088151,0.001589498482644558,,,250,,,0.6802325581395349,,False,,,,,,0,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.7137345899250662,0.001589498482644558,,,250,,,0.7412790697674418,,False,,,,,,0,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.7137345899250662,0.001589498482644558,,,250,,,0.7412790697674418,,False,,,,,,0,rider,0.1,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.7137345899250662,0.001589498482644558,,,250,,,0.7412790697674418,,False,,,,,,0,rider,0.2,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.5383721394986217,0.007041755598038435,,,250,,,0.5522959183673469,,False,,,,,,0,bicycle,0.05,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.5383721394986217,0.007041755598038435,,,250,,,0.5522959183673469,,False,,,,,,0,bicycle,0.1,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.5383721394986217,0.007041755598038435,,,250,,,0.5522959183673469,,False,,,,,,0,bicycle,0.2,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.6251708538862689,0.007041755598038435,,,250,,,0.6211734693877551,,False,,,,,,0,bicycle,0.05,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.6251708538862689,0.007041755598038435,,,250,,,0.6211734693877551,,False,,,,,,0,bicycle,0.1,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.6251708538862689,0.007041755598038435,,,250,,,0.6211734693877551,,False,,,,,,0,bicycle,0.2,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.184,1000.0,204,1338.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,,-1,True,,0.497443166286387,0.012269485741853714,,,250,,,0.4872944693572496,,False,,,,,,1,person,0.05,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,0.184,1000.0,204,1338.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,,-1,True,,0.497443166286387,0.012269485741853714,,,250,,,0.4872944693572496,,False,,,,,,1,person,0.1,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,0.184,1000.0,204,1338.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,,-1,True,,0.497443166286387,0.012269485741853714,,,250,,,0.4872944693572496,,False,,,,,,1,person,0.2,0.1,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,0.184,1000.0,204,1338.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,,-1,True,,0.588588558133647,0.012269485741853714,,,250,,,0.5844544095665172,,False,,,,,,1,person,0.05,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,0.184,1000.0,204,1338.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
,,,,-1,True,,0.588588558133647,0.012269485741853714,,,250,,,0.5844544095665172,,False,,,,,,1,person,0.1,0.5,argmax,mask2former_swinb_cityscapes__dilation,cityscapes_val_half,198
