fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,,-1,True,,0.5549580946444336,0.0132238594815135,,,250,,,0.5132475397426193,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,,-1,True,,0.5549580946444336,0.0132238594815135,,,250,,,0.5132475397426193,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,,-1,True,,0.5549580946444336,0.0132238594815135,,,250,,,0.5132475397426193,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,,-1,True,,0.630365570975865,0.0132238594815135,,,250,,,0.6025738077214232,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,,-1,True,,0.630365570975865,0.0132238594815135,,,250,,,0.6025738077214232,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,,-1,True,,0.630365570975865,0.0132238594815135,,,250,,,0.6025738077214232,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,127
,,,,-1,True,,0.7149240970669541,0.0015874862438067794,,,250,,,0.7238372093023255,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8__dilation,cityscapes_val_half,127
