fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.3502964263906601,0.01260359212756157,,,250,,,0.3141559424678274,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.3502964263906601,0.01260359212756157,,,250,,,0.3141559424678274,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,0.34400000000000003,344,True,0.21053442731732205,0.21053442731732208,0.038015853613615036,1.092,325.0,200,1321.0,190.0,0.14383043149129449,0.03600000000000003,False,0.24273255813953487,0.04771784232365145,0.0,,,0,person,0.2,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.3502964263906601,0.01260359212756157,,,250,,,0.3141559424678274,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.446647332522139,0.01260359212756157,,,250,,,0.41635124905374715,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.2,1000.0,200,1321.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.446647332522139,0.01260359212756157,,,250,,,0.41635124905374715,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,0.41500000000000004,415,True,0.21043233034022507,0.21043233034022507,0.04388190433382988,1.012,400.0,200,1321.0,188.0,0.14231642694928084,0.040000000000000036,False,0.23401162790697674,0.056016597510373446,0.0,,,0,person,0.2,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,,-1,True,,0.446647332522139,0.01260359212756157,,,250,,,0.41635124905374715,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.4766087968468921,0.0018428841140121222,,,250,,,0.45930232558139533,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.4766087968468921,0.0018428841140121222,,,250,,,0.45930232558139533,,False,,,,,,0,rider,0.1,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.4766087968468921,0.0018428841140121222,,,250,,,0.45930232558139533,,False,,,,,,0,rider,0.2,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.5724070021689069,0.0018428841140121222,,,250,,,0.5755813953488372,,False,,,,,,0,rider,0.05,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.5724070021689069,0.0018428841140121222,,,250,,,0.5755813953488372,,False,,,,,,0,rider,0.1,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000.0,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,,-1,True,,0.5724070021689069,0.0018428841140121222,,,250,,,0.5755813953488372,,False,,,,,,0,rider,0.2,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.3607519211867038,0.007221700623631477,,,250,,,0.32653061224489793,,False,,,,,,0,bicycle,0.05,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.3607519211867038,0.007221700623631477,,,250,,,0.32653061224489793,,False,,,,,,0,bicycle,0.1,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,0.332,332,True,0.24909970720247404,0.249099707202474,0.019726227968931198,0.36,325.0,165,784.0,143.0,0.18239795918367346,0.14400000000000002,False,0.3165829145728643,0.054838709677419356,0.0,,,0,bicycle,0.2,0.1,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.3607519211867038,0.007221700623631477,,,250,,,0.32653061224489793,,False,,,,,,0,bicycle,0.2,0.1,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000.0,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,region_crc,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
,,,,-1,True,,0.44350176613022463,0.007221700623631477,,,250,,,0.4145408163265306,,False,,,,,,0,bicycle,0.05,0.5,argmax,segformer_b5_cityscapes__dilation,cityscapes_val_half,180
