fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.9999950340767855,884,True,0.007633587786259542,0.007633587786259542,0.49458909034729004,29.8375,875.0,131,246.0,1.0,0.0040650406504065045,0.05999999999999994,False,0.007407407407407408,0.0,0.0,,,0,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9999827813142501,794,True,0.04580152671755725,0.04580152671755725,0.26556330919265747,31.86,775.0,131,246.0,8.0,0.032520325203252036,0.07250000000000001,False,0.05925925925925926,0.0,0.0,,,0,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.5331734847002022,0.0030244055669754744,,,400,,,0.4959349593495935,,False,,,,,,0,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9999670390287823,747,True,0.0540223135642983,0.0540223135642983,0.2103259265422821,30.6925,725.0,131,246.0,10.0,0.04065040650406504,0.07999999999999999,False,0.07407407407407407,0.0,0.0,,,0,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9997075847622157,589,True,0.11287923272656096,0.11287923272656097,0.08746766299009323,23.2225,575.0,131,246.0,26.0,0.10569105691056911,0.05999999999999994,False,0.16296296296296298,0.0425531914893617,0.0,,,0,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.5331734847002022,0.0030244055669754744,,,400,,,0.4959349593495935,,False,,,,,,0,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9993661302887431,533,True,0.11860442356625563,0.11860442356625563,0.06321335583925247,19.8,525.0,131,246.0,28.0,0.11382113821138211,0.06499999999999995,False,0.17777777777777778,0.0425531914893617,0.0,,,0,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9992308695597134,519,True,0.13641612840086123,0.13641612840086123,0.05826292186975479,18.1775,500.0,131,246.0,31.0,0.12601626016260162,0.06500000000000006,False,0.1925925925925926,0.05319148936170213,0.0,,,0,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.5331734847002022,0.0030244055669754744,,,400,,,0.4959349593495935,,False,,,,,,0,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9999951694119796,886,True,0.030534351145038167,0.030534351145038167,0.5039335489273071,29.8375,875.0,131,246.0,5.0,0.02032520325203252,0.05750000000000011,False,0.02962962962962963,0.010638297872340425,0.0,,,0,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9999916054001348,846,True,0.05343511450381679,0.05343511450381679,0.35504668951034546,32.985,825.0,131,246.0,10.0,0.04065040650406504,0.065,False,0.05925925925925926,0.02127659574468085,0.0,,,0,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,,-1,True,,0.6104586677105762,0.0030244055669754744,,,400,,,0.5975609756097561,,False,,,,,,0,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9999692390318526,752,True,0.09626149931493443,0.09626149931493443,0.2158307284116745,31.42,750.0,131,246.0,20.0,0.08130081300813008,0.07999999999999999,False,0.1259259259259259,0.031914893617021274,0.0,,,0,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
,,,0.9999465435640603,712,True,0.10949305147778429,0.10949305147778429,0.17455501854419708,29.9575,700.0,131,246.0,24.0,0.0975609756097561,0.0675,False,0.14814814814814814,0.0425531914893617,0.0,,,0,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,acdc_rain_targetcal100,39
