fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.998,998,True,0.04077244721652616,0.04077244721652616,0.054573312401771545,0.2,200,1321.0,0.039999999999999925,False,0.061046511627906974,0.006224066390041493,0.0,,,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.987,987,True,0.13725809047190626,0.13725809047190626,0.03506067767739296,8.088,200,1321.0,0.04000000000000001,False,0.17296511627906977,0.022821576763485476,0.0,,,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.968,968,True,0.20575188040087422,0.20575188040087422,0.028065672144293785,8.088,200,1321.0,0.052000000000000046,False,0.2761627906976744,0.05394190871369295,0.0,,,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.999,999,True,0.04426458032708032,0.04426458032708032,0.06399275362491608,0.2,200,1321.0,0.051999999999999935,False,0.05813953488372093,0.01037344398340249,0.0,,,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.994,994,True,0.14366281257728628,0.14366281257728628,0.04219117760658264,0.2,200,1321.0,0.03599999999999992,False,0.17151162790697674,0.03941908713692946,0.0,,,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,0.985,985,True,0.20619703505558767,0.20619703505558767,0.033864665776491165,8.088,200,1321.0,0.04400000000000004,False,0.24854651162790697,0.07883817427385892,0.0,,,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,344.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127
,,,0.999,999,True,0.0915954415954416,0.0915954415954416,0.020862020552158356,0.496,126,344.0,0.040000000000000036,False,0.15151515151515152,0.008547008547008548,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127
,,,0.996,996,True,0.19677306820163964,0.19677306820163964,0.012795696035027504,0.496,126,344.0,0.04400000000000004,False,0.26262626262626265,0.05982905982905983,0.0,,,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,344.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,344.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127
,,,0.998,998,True,0.19365515436944006,0.19365515436944006,0.016461512073874474,0.496,126,344.0,0.051999999999999935,False,0.24242424242424243,0.07692307692307693,0.06896551724137931,,,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127
,,,0.999,999,True,0.05928899383444838,0.05928899383444838,0.03485621139407158,0.34,165,784.0,0.10400000000000004,False,0.08793969849246232,0.00967741935483871,0.0,,,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180
,,,0.996,996,True,0.11477312250039522,0.11477312250039522,0.024213537573814392,0.34,165,784.0,0.09599999999999997,False,0.17336683417085427,0.016129032258064516,0.0,,,0,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180
,,,0.981,981,True,0.2068508091235364,0.2068508091235364,0.01624474674463272,4.064,165,784.0,0.08800000000000002,False,0.3341708542713568,0.041935483870967745,0.0,,,0,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,165,784.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180
,,,0.999,999,True,0.09209875982603255,0.09209875982603255,0.03485621139407158,0.34,165,784.0,0.10400000000000004,False,0.13316582914572864,0.01935483870967742,0.0,,,0,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180
,,,0.992,992,True,0.20466232420777875,0.20466232420777875,0.020199239253997803,0.34,165,784.0,0.09200000000000003,False,0.30402010050251255,0.05806451612903226,0.0,,,0,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,,,226,,,False,,,,,,0,max_over_classes,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,200,,,False,,,,,,0,person,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,126,,,False,,,,,,0,rider,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,165,,,False,,,,,,0,bicycle,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.999,999,True,0.10115435817869446,0.10115435817869446,,,226,,,False,,,,,,0,max_over_classes,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.999,999,True,0.025162728475228473,0.025162728475228473,0.06399275362491608,,200,,,False,,,,,,0,person,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.999,999,True,0.0915954415954416,0.0915954415954416,0.020862020552158356,,126,,,False,,,,,,0,rider,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.999,999,True,0.05928899383444838,0.05928899383444838,0.03485621139407158,,165,,,False,,,,,,0,bicycle,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.995,995,True,0.22455400974846712,0.22455400974846712,,,226,,,False,,,,,,0,max_over_classes,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.995,995,True,0.08149761714893294,0.08149761714893294,0.044057492166757584,,200,,,False,,,,,,0,person,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.995,995,True,0.21705525515049323,0.21705525515049323,0.01178720872849226,,126,,,False,,,,,,0,rider,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.995,995,True,0.1297918411554775,0.1297918411554775,0.022825930267572403,,165,,,False,,,,,,0,bicycle,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,,,226,,,False,,,,,,0,max_over_classes,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,200,,,False,,,,,,0,person,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,126,,,False,,,,,,0,rider,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,165,,,False,,,,,,0,bicycle,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,,,226,,,False,,,,,,0,max_over_classes,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,200,,,False,,,,,,0,person,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,126,,,False,,,,,,0,rider,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,1.0,1000,True,0.0,0.0,1.0,,165,,,False,,,,,,0,bicycle,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.998,998,True,0.21571366130634878,0.21571366130634878,,,226,,,False,,,,,,0,max_over_classes,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.998,998,True,0.0781345219108377,0.0781345219108377,0.054573312401771545,,200,,,False,,,,,,0,person,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.998,998,True,0.19365515436944006,0.19365515436944006,0.016461512073874474,,126,,,False,,,,,,0,rider,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.998,998,True,0.12376571240207603,0.12376571240207603,0.029043423011898994,,165,,,False,,,,,,0,bicycle,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,224
,,,0.994,994,True,0.10289745270782423,0.10289745270782423,0.041186265647411346,0.184,204,1338.0,0.064,False,0.11940298507462686,0.02100840336134454,0.0,,,1,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,198
,,,0.987,987,True,0.14361292142574392,0.14361292142574394,0.03409912809729576,8.32,204,1338.0,0.07199999999999995,False,0.16417910447761194,0.031512605042016806,0.0,,,1,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,198
,,,0.9560000000000001,956,True,0.26448693308979837,0.26448693308979837,0.02500038407742977,6.036,204,1338.0,0.06400000000000006,False,0.3229308005427408,0.06512605042016807,0.0,,,1,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,198
,,,0.998,998,True,0.08836599197538308,0.08836599197538308,0.05347840115427971,0.184,204,1338.0,0.08000000000000002,False,0.09769335142469471,0.023109243697478993,0.0,,,1,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,198
,,,0.994,994,True,0.14561341049731144,0.14561341049731144,0.041186265647411346,0.184,204,1338.0,0.064,False,0.1614654002713704,0.04201680672268908,0.0,,,1,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,198
,,,0.98,980,True,0.2495989983921751,0.2495989983921751,0.03061412274837494,8.32,204,1338.0,0.064,False,0.2944369063772049,0.0861344537815126,0.0,,,1,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,0.52,120,336.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,133
