seed,class_name,alpha,rho,method,ranking,budget,residual_region_fnr,lam
0,person,0.05,0.1,region_crc,area,0.0,0.015821039340776184,0.999
0,person,0.05,0.1,region_crc,area,0.05,0.01545554226475279,0.999
0,person,0.05,0.1,region_crc,area,0.1,0.01545554226475279,0.999
0,person,0.05,0.1,region_crc,area,0.15,0.015455542264752792,0.999
0,person,0.05,0.1,region_crc,area,0.2,0.015181419457735245,0.999
0,person,0.05,0.1,region_crc,area,0.25,0.011692583732057416,0.999
0,person,0.05,0.1,region_crc,area,0.3,0.011253987240829344,0.999
0,person,0.05,0.1,region_crc,area,0.35,0.011253987240829344,0.999
0,person,0.05,0.1,region_crc,area,0.4,0.009791998936735779,0.999
0,person,0.05,0.1,region_crc,area,0.45,0.009791998936735779,0.999
0,person,0.05,0.1,region_crc,area,0.5,0.009791998936735779,0.999
0,person,0.05,0.1,region_crc,random,0.0,0.01582103934077618,0.999
0,person,0.05,0.1,region_crc,random,0.05,0.015821039340776184,0.999
0,person,0.05,0.1,region_crc,random,0.1,0.014159688995215311,0.999
0,person,0.05,0.1,region_crc,random,0.15,0.013760964912280701,0.999
0,person,0.05,0.1,region_crc,random,0.2,0.013760964912280701,0.999
0,person,0.05,0.1,region_crc,random,0.25,0.01156798245614035,0.999
0,person,0.05,0.1,region_crc,random,0.3,0.01156798245614035,0.999
0,person,0.05,0.1,region_crc,random,0.35,0.010836988304093567,0.999
0,person,0.05,0.1,region_crc,random,0.4,0.008095760233918128,0.999
0,person,0.05,0.1,region_crc,random,0.45,0.008095760233918128,0.999
0,person,0.05,0.1,region_crc,random,0.5,0.008095760233918128,0.999
0,person,0.05,0.1,region_crc,oracle,0.0,0.01582103934077618,0.999
0,person,0.05,0.1,region_crc,oracle,0.05,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.1,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.15,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.2,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.25,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.3,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.35,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.4,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.45,0.0,0.999
0,person,0.05,0.1,region_crc,oracle,0.5,0.0,0.999
0,person,0.1,0.1,region_crc,area,0.0,0.06802327789169894,0.989
0,person,0.1,0.1,region_crc,area,0.05,0.06692678666362877,0.989
0,person,0.1,0.1,region_crc,area,0.1,0.06254082175134806,0.989
0,person,0.1,0.1,region_crc,area,0.15,0.0580468690666059,0.989
0,person,0.1,0.1,region_crc,area,0.2,0.0580468690666059,0.989
0,person,0.1,0.1,region_crc,area,0.25,0.05475739538239539,0.989
0,person,0.1,0.1,region_crc,area,0.3,0.054318798891167315,0.989
