fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,realized_pixel_fnr,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.999,999,True,0.041333224158882055,0.041333224158882055,0.05578656122088432,15.916,999,200,1321.0,45.0,0.03406510219530658,0.04400000000000004,False,0.059593023255813955,0.008298755186721992,0.0,,,0.05782896512106899,0,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.041333224158882055,0.041333224158882055,0.05578656122088432,15.916,999,200,1321.0,45.0,0.03406510219530658,0.04400000000000004,False,0.059593023255813955,0.008298755186721992,0.0,,,0.05782896512106899,0,person,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.991,991,True,0.14241968764666132,0.14241968764666132,0.03494212031364441,8.788,991,200,1321.0,136.0,0.10295230885692658,0.052000000000000046,False,0.17732558139534885,0.029045643153526972,0.0,,,0.1545579729989876,0,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.996,996,True,0.09327341079972658,0.09327341079972658,0.04157356172800064,11.388,996,200,1321.0,85.0,0.0643451930355791,0.04800000000000004,False,0.11046511627906977,0.01867219917012448,0.0,,,0.11380402414162727,0,person,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.972,972,True,0.2214279977776495,0.2214279977776495,0.027271298691630363,5.904,972,200,1321.0,233.0,0.17638152914458743,0.06000000000000005,False,0.29505813953488375,0.06224066390041494,0.0,,,0.22199688286991828,0,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.979,979,True,0.20046907734078787,0.20046907734078787,0.02909083664417267,6.54,979,200,1321.0,205.0,0.15518546555639667,0.05600000000000005,False,0.2616279069767442,0.05186721991701245,0.0,,,0.20375129971422035,0,person,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.06205291163514847,0.06205291163514847,0.05578656122088432,15.916,999,200,1321.0,63.0,0.04769114307342922,0.04400000000000004,False,0.07703488372093023,0.02074688796680498,0.0,,,0.05782896512106899,0,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.06205291163514847,0.06205291163514847,0.05578656122088432,15.916,999,200,1321.0,63.0,0.04769114307342922,0.04400000000000004,False,0.07703488372093023,0.02074688796680498,0.0,,,0.05782896512106899,0,person,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.998,998,True,0.10583484911774384,0.10583484911774384,0.04817335307598114,13.516,998,200,1321.0,92.0,0.0696442089326268,0.04400000000000004,False,0.11337209302325581,0.029045643153526972,0.0,,,0.0829854315490492,0,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.996,996,True,0.14092764448027606,0.14092764448027606,0.04157356172800064,11.388,996,200,1321.0,135.0,0.10219530658591976,0.04800000000000004,False,0.1613372093023256,0.04979253112033195,0.0,,,0.11380402414162727,0,person,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.987,987,True,0.22686482997996155,0.22686482997996155,0.03229951113462448,7.716,987,200,1321.0,226.0,0.17108251324753973,0.052000000000000046,False,0.2703488372093023,0.08298755186721991,0.0,,,0.17432730675818037,0,person,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,0.979,979,True,0.28300814448279615,0.28300814448279615,0.02909083664417267,6.54,979,200,1321.0,292.0,0.2210446631339894,0.05600000000000005,False,0.34593023255813954,0.11203319502074689,0.0,,,0.20375129971422035,0,person,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,0.999,999,True,0.12982295482295486,0.12982295482295483,0.017004095017910004,7.596,999,126,344.0,43.0,0.125,0.06000000000000005,False,0.18686868686868688,0.05128205128205128,0.0,,,0.1628921725725949,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,0.997,997,True,0.1945215278548612,0.19452152785486118,0.012004461139440536,5.216,997,126,344.0,59.0,0.17151162790697674,0.06000000000000005,False,0.25757575757575757,0.06837606837606838,0.0,,,0.24824610792952534,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,0.998,998,True,0.17744200244200245,0.17744200244200245,0.013678381219506264,6.132,998,126,344.0,53.0,0.15406976744186046,0.055999999999999994,False,0.22727272727272727,0.06837606837606838,0.0,,,0.21317310053734276,0,rider,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,1000,126,344.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,rider,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,0.999,999,True,0.17197463030796364,0.17197463030796362,0.017004095017910004,7.596,999,126,344.0,54.0,0.1569767441860465,0.06000000000000005,False,0.21717171717171718,0.07692307692307693,0.06896551724137931,,,0.1628921725725949,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,0.998,998,True,0.22454798288131622,0.22454798288131622,0.013678381219506264,6.132,998,126,344.0,67.0,0.19476744186046513,0.055999999999999994,False,0.2727272727272727,0.09401709401709402,0.06896551724137931,,,0.21317310053734276,0,rider,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,bicycle,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.997,997,True,0.1281038994675358,0.1281038994675358,0.022880561649799347,8.132,997,165,784.0,84.0,0.10714285714285714,0.10400000000000004,False,0.1934673366834171,0.02258064516129032,0.0,,,0.1298564256033599,0,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.998,998,True,0.11818603954967591,0.11818603954967591,0.025192396715283394,9.12,998,165,784.0,75.0,0.09566326530612244,0.10000000000000003,False,0.17336683417085427,0.01935483870967742,0.0,,,0.11607521783968677,0,bicycle,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.988,988,True,0.2149412372139645,0.2149412372139645,0.016652122139930725,4.504,988,165,784.0,144.0,0.1836734693877551,0.09600000000000003,False,0.31909547738693467,0.054838709677419356,0.0,,,0.21889801183180166,0,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.987,987,True,0.2182529255256528,0.2182529255256528,0.016354002058506012,4.36,987,165,784.0,148.0,0.18877551020408162,0.10400000000000004,False,0.32914572864321606,0.054838709677419356,0.0,,,0.22464125562953843,0,bicycle,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,0.34,1000,165,784.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0.0,0,bicycle,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.999,999,True,0.13071916299189024,0.13071916299189026,0.029725775122642517,11.324,999,165,784.0,81.0,0.10331632653061225,0.10000000000000003,False,0.18090452261306533,0.02903225806451613,0.0,,,0.09546966379240812,0,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.998,998,True,0.14992557947103402,0.14992557947103402,0.025192396715283394,9.12,998,165,784.0,101.0,0.1288265306122449,0.10000000000000003,False,0.2185929648241206,0.04516129032258064,0.0,,,0.11607521783968677,0,bicycle,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.994,994,True,0.19863156752484817,0.19863156752484817,0.01946701481938362,6.236,994,165,784.0,144.0,0.1836734693877551,0.10400000000000004,False,0.30402010050251255,0.07419354838709677,0.0,,,0.16706652759243995,0,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.987,987,True,0.2769686652097719,0.2769686652097719,0.016354002058506012,4.36,987,165,784.0,188.0,0.23979591836734693,0.10400000000000004,False,0.38944723618090454,0.1064516129032258,0.0,,,0.22464125562953843,0,bicycle,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
,,,0.746,746,True,,0.4765955113499618,0.015722692012786865,,-1,200,,,,,False,,,,,,0.4226033973928531,0,person,0.05,0.1,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.746,746,True,,0.6516519195090624,0.0022409267257899046,,-1,126,,,,,False,,,,,,0.6484116592703146,0,rider,0.05,0.1,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.746,746,True,,0.5455426128548658,0.008021303452551365,,-1,165,,,,,False,,,,,,0.5050459118803803,0,bicycle,0.05,0.1,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.746,746,True,,0.5790130536030303,0.015722692012786865,,-1,200,,,,,False,,,,,,0.4226033973928531,0,person,0.05,0.5,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.746,746,True,,0.7070442784728499,0.0022409267257899046,,-1,126,,,,,False,,,,,,0.6484116592703146,0,rider,0.05,0.5,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.746,746,True,,0.610188244634885,0.008021303452551365,,-1,165,,,,,False,,,,,,0.5050459118803803,0,bicycle,0.05,0.5,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.318,318,True,,0.673410541964915,0.010007991455495358,,-1,200,,,,,False,,,,,,0.6149323989481374,0,person,0.1,0.1,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.318,318,True,,0.7876691210024542,0.000993268913589418,,-1,126,,,,,False,,,,,,0.8142243033837795,0,rider,0.1,0.1,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.318,318,True,,0.7061252310857054,0.0052195205353200436,,-1,165,,,,,False,,,,,,0.6812451787773167,0,bicycle,0.1,0.1,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.318,318,True,,0.7606381478213909,0.010007991455495358,,-1,200,,,,,False,,,,,,0.6149323989481374,0,person,0.1,0.5,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
,,,0.318,318,True,,0.8452117547355643,0.000993268913589418,,-1,126,,,,,False,,,,,,0.8142243033837795,0,rider,0.1,0.5,lac_global,segformer_b2_cityscapes,cityscapes_val_half,250
