lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
0.978,978,True,0.03151631141762721,0.03151631141762721,0.0371963195502758,39.752,200,1321.0,0.10400000000000004,False,0.055232558139534885,0.008298755186721992,0.0,,,0,person,0.05,0.1,region_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.978,978,True,0.03151631141762721,0.03151631141762721,0.0371963195502758,39.752,200,1321.0,0.10400000000000004,False,0.055232558139534885,0.008298755186721992,0.0,,,0,person,0.05,0.1,heuristic,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.984,984,True,0.023847549867286707,0.023847549867286714,0.04244284704327583,39.752,200,1321.0,0.08800000000000002,False,0.04215116279069767,0.006224066390041493,0.0,,,0,person,0.05,0.1,pixel_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
,-1,True,,0.3502964263906601,0.01260359212756157,,250,,,False,,,,,,0,person,0.05,0.1,argmax,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,0.3141559424678274
0.9420000000000001,942,True,0.10811090152537521,0.10811090152537521,0.025016315281391144,29.792,200,1321.0,0.07200000000000001,False,0.13953488372093023,0.01867219917012448,0.0,,,0,person,0.1,0.1,region_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.9410000000000001,941,True,0.11038867930315298,0.11038867930315298,0.024851016700267792,29.792,200,1321.0,0.07200000000000001,False,0.14244186046511628,0.02074688796680498,0.0,,,0,person,0.1,0.1,heuristic,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.9460000000000001,946,True,0.09980498984446351,0.09980498984446352,0.02572232484817505,29.792,200,1321.0,0.07600000000000007,False,0.12645348837209303,0.01867219917012448,0.0,,,0,person,0.1,0.1,pixel_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
,-1,True,,0.3502964263906601,0.01260359212756157,,250,,,False,,,,,,0,person,0.1,0.1,argmax,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,0.3141559424678274
0.854,854,True,0.21351368490900224,0.21351368490900224,0.018001632764935493,12.296,200,1321.0,0.05600000000000005,False,0.29651162790697677,0.043568464730290454,0.0,,,0,person,0.2,0.1,region_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.848,848,True,0.21808480823012558,0.21808480823012555,0.017760194838047028,12.296,200,1321.0,0.06,False,0.30377906976744184,0.043568464730290454,0.0,,,0,person,0.2,0.1,heuristic,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.807,807,True,0.2455655954740707,0.2455655954740707,0.016388678923249245,9.06,200,1321.0,0.05600000000000005,False,0.3648255813953488,0.04771784232365145,0.0,,,0,person,0.2,0.1,pixel_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
,-1,True,,0.3502964263906601,0.01260359212756157,,250,,,False,,,,,,0,person,0.2,0.1,argmax,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,0.3141559424678274
0.99,990,True,0.033753042766200655,0.03375304276620066,0.0513995885848999,0.2,200,1321.0,0.07600000000000001,False,0.0436046511627907,0.014522821576763486,0.0,,,0,person,0.05,0.5,region_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.987,987,True,0.04633762923236607,0.04633762923236608,0.0462091788649559,39.752,200,1321.0,0.08800000000000002,False,0.055232558139534885,0.014522821576763486,0.0,,,0,person,0.05,0.5,heuristic,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.984,984,True,0.06049160488634173,0.06049160488634173,0.04244284704327583,39.752,200,1321.0,0.08800000000000002,False,0.06831395348837209,0.016597510373443983,0.0,,,0,person,0.05,0.5,pixel_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
,-1,True,,0.446647332522139,0.01260359212756157,,250,,,False,,,,,,0,person,0.05,0.5,argmax,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,0.41635124905374715
0.969,969,True,0.0995615527260264,0.09956155272602642,0.03225107491016388,39.752,200,1321.0,0.09999999999999998,False,0.11773255813953488,0.03319502074688797,0.0,,,0,person,0.1,0.5,region_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.968,968,True,0.10560513390118655,0.10560513390118652,0.03182799741625786,39.752,200,1321.0,0.10799999999999998,False,0.125,0.035269709543568464,0.0,,,0,person,0.1,0.5,heuristic,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.9460000000000001,946,True,0.16039815079714462,0.1603981507971446,0.02572232484817505,29.792,200,1321.0,0.07600000000000007,False,0.1933139534883721,0.043568464730290454,0.0,,,0,person,0.1,0.5,pixel_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
,-1,True,,0.446647332522139,0.01260359212756157,,250,,,False,,,,,,0,person,0.1,0.5,argmax,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,0.41635124905374715
0.911,911,True,0.21518947622295145,0.21518947622295145,0.021341664716601372,17.78,200,1321.0,0.05600000000000005,False,0.2877906976744186,0.05186721991701245,0.0,,,0,person,0.2,0.5,region_crc,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
0.906,906,True,0.22412616453463977,0.22412616453463977,0.0209343284368515,17.78,200,1321.0,0.06000000000000005,False,0.29505813953488375,0.05394190871369295,0.0,,,0,person,0.2,0.5,heuristic,segformer_b5_cityscapes_tempscaled,cityscapes_val_half,202,
