model,scheme,seed,alpha,rho,union_area,class_mean_area,max_class_area,sum_class_area,area__person,area__rider,area__bicycle,lam__person,lam__rider,lam__bicycle,degenerate
segformer_b2_cityscapes,cityscapes_val_half,0,0.2,0.5,0.04746562385559082,0.022922977447509763,0.03229869270324707,0.06876893234252929,0.03229869270324707,0.017003400802612305,0.01946683883666992,0.987,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,1,0.2,0.5,0.044371023178100585,0.020960816701253254,0.030840734481811523,0.06288245010375976,0.030840734481811523,0.013772676467895508,0.018269039154052733,0.986,0.998,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,2,0.2,0.5,0.052374919891357424,0.025327759424845376,0.0376028881072998,0.07598327827453613,0.0376028881072998,0.01787213134765625,0.02050825881958008,0.991,0.999,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,3,0.2,0.5,1.0,0.3526257050832113,1.0,1.0,0.03194876098632812,1.0,0.025928354263305663,0.99,1.0,0.998,True
segformer_b2_cityscapes,cityscapes_val_half,4,0.2,0.5,0.04944006538391113,0.024306786855061848,0.03627827262878418,0.07292036056518554,0.03627827262878418,0.015879150390625,0.020762937545776367,0.992,0.999,0.996,False
segformer_b2_cityscapes,cityscapes_val_half,5,0.2,0.5,0.050881526947021485,0.024687723159790037,0.03690968322753906,0.07406316947937011,0.03690968322753906,0.018107135772705077,0.019046350479125975,0.99,0.999,0.993,False
segformer_b2_cityscapes,cityscapes_val_half,6,0.2,0.5,0.0478337631225586,0.022889998753865562,0.033954360961914065,0.06866999626159669,0.033954360961914065,0.014133472442626954,0.020582162857055664,0.99,0.998,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,7,0.2,0.5,0.0502181453704834,0.02463365618387858,0.034369707107543945,0.07390096855163575,0.034369707107543945,0.018279767990112303,0.021251493453979493,0.988,0.999,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,8,0.2,0.5,0.047366891860961914,0.022394241968790685,0.03353544044494629,0.06718272590637207,0.03353544044494629,0.013477182388305664,0.020170103073120116,0.987,0.998,0.996,False
segformer_b2_cityscapes,cityscapes_val_half,9,0.2,0.5,0.04450654983520508,0.020930278142293295,0.030743633270263672,0.06279083442687988,0.030743633270263672,0.01348512077331543,0.01856208038330078,0.987,0.998,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,10,0.2,0.5,0.04949976921081543,0.024030380884806316,0.03446017265319824,0.07209114265441895,0.03446017265319824,0.01779644203186035,0.01983452796936035,0.989,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,11,0.2,0.5,1.0,0.3538057702382405,1.0,1.0,0.03785734939575195,1.0,0.023559961318969726,0.991,1.0,0.997,True
segformer_b2_cityscapes,cityscapes_val_half,12,0.2,0.5,0.04889529609680176,0.023844498952229815,0.03490251159667969,0.07153349685668946,0.03490251159667969,0.017194255828857422,0.019436729431152343,0.992,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,13,0.2,0.5,0.05278249168395996,0.025687420527140303,0.04027594566345215,0.0770622615814209,0.04027594566345215,0.01735946846008301,0.019426847457885744,0.992,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,14,0.2,0.5,0.05132359313964844,0.024924090703328447,0.03443038749694824,0.07477227210998535,0.03443038749694824,0.01841397285461426,0.02192791175842285,0.989,0.999,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,15,0.2,0.5,0.04837558364868164,0.023732631683349614,0.034835931777954104,0.07119789505004884,0.034835931777954104,0.01752662467956543,0.018835338592529297,0.99,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,16,0.2,0.5,0.04713693237304688,0.02226052284240723,0.0349474105834961,0.06678156852722168,0.0349474105834961,0.013305398941040039,0.01852875900268555,0.99,0.998,0.993,False
segformer_b2_cityscapes,cityscapes_val_half,17,0.2,0.5,0.04273737907409668,0.020538376490275064,0.02910237121582031,0.061615129470825196,0.02910237121582031,0.015425222396850586,0.0170875358581543,0.987,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,18,0.2,0.5,0.05560961532592774,0.02779547182718913,0.03950565719604492,0.08338641548156739,0.03950565719604492,0.01901038932800293,0.024870368957519533,0.992,0.999,0.997,False
segformer_b2_cityscapes,cityscapes_val_half,19,0.2,0.5,0.05412937164306641,0.026546068827311198,0.03864656639099121,0.0796382064819336,0.03864656639099121,0.01898472785949707,0.02200691223144531,0.992,0.999,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,20,0.2,0.5,0.05258120918273926,0.024884938557942705,0.03860995864868164,0.07465481567382813,0.03860995864868164,0.015047128677368165,0.02099772834777832,0.992,0.998,0.993,False
segformer_b2_cityscapes,cityscapes_val_half,21,0.2,0.5,0.04813781929016113,0.023612965901692706,0.03309010887145996,0.07083889770507812,0.03309010887145996,0.017580013275146484,0.02016877555847168,0.989,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,22,0.2,0.5,0.0485893726348877,0.02459140968322754,0.0325510082244873,0.07377422904968262,0.0325510082244873,0.01909162139892578,0.022131599426269532,0.99,0.999,0.995,False
segformer_b2_cityscapes,cityscapes_val_half,23,0.2,0.5,0.05036353874206543,0.024155222574869795,0.036354656219482424,0.07246566772460938,0.036354656219482424,0.01702772331237793,0.019083288192749022,0.99,0.999,0.994,False
segformer_b2_cityscapes,cityscapes_val_half,24,0.2,0.5,0.05067424583435059,0.025312810262044266,0.035406784057617186,0.07593843078613281,0.035406784057617186,0.018286169052124022,0.022245477676391602,0.994,0.999,0.995,False
