condition,class_name,seed,pool,n_cal,n_pool,n_target_total,c_low,kappa,ratio,alpha,rho,raw_median,raw_max,weight_p_test,lam,feasible,region_fnr,marked_area_fraction,weight_sum,weight_ess,frac_at_floor,weight_median,weight_max
fog,person,0,all,202,500,500,0.05,2.0,40.0,0.05,0.5,2.654080162756145e-05,0.0014093725476413965,0.1652892249324783,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,2.0,40.0,0.1,0.5,2.654080162756145e-05,0.0014093725476413965,0.1652892249324783,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,2.0,40.0,0.2,0.5,2.654080162756145e-05,0.0014093725476413965,0.1652892249324783,0.9992620957698709,True,0.1289855072463768,0.018688948825001717,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,5.0,100.0,0.05,0.5,2.654080162756145e-05,0.0014093725476413965,0.33112577762339346,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,5.0,100.0,0.1,0.5,2.654080162756145e-05,0.0014093725476413965,0.33112577762339346,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,5.0,100.0,0.2,0.5,2.654080162756145e-05,0.0014093725476413965,0.33112577762339346,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,20.0,400.0,0.05,0.5,2.654080162756145e-05,0.0014093725476413965,0.6644517767172948,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,20.0,400.0,0.1,0.5,2.654080162756145e-05,0.0014093725476413965,0.6644517767172948,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,all,202,500,500,0.05,20.0,400.0,0.2,0.5,2.654080162756145e-05,0.0014093725476413965,0.6644517767172948,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,2.0,40.0,0.05,0.5,0.00023151305504143238,0.0070459009148180485,0.1652892249324783,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,2.0,40.0,0.1,0.5,0.00023151305504143238,0.0070459009148180485,0.1652892249324783,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,2.0,40.0,0.2,0.5,0.00023151305504143238,0.0070459009148180485,0.1652892249324783,0.9992620957698709,True,0.1289855072463768,0.018688948825001717,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,5.0,100.0,0.05,0.5,0.00023151305504143238,0.0070459009148180485,0.33112577762339346,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,5.0,100.0,0.1,0.5,0.00023151305504143238,0.0070459009148180485,0.33112577762339346,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,5.0,100.0,0.2,0.5,0.00023151305504143238,0.0070459009148180485,0.33112577762339346,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,20.0,400.0,0.05,0.5,0.00023151305504143238,0.0070459009148180485,0.6644517767172948,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,20.0,400.0,0.1,0.5,0.00023151305504143238,0.0070459009148180485,0.6644517767172948,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,0,class,202,115,500,0.05,20.0,400.0,0.2,0.5,0.00023151305504143238,0.0070459009148180485,0.6644517767172948,1.0,False,0.0,1.0,10.10000228881836,202.00009346009426,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,2.0,40.0,0.05,0.5,2.0820420104428194e-05,0.001306953839957714,0.16806719187129857,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,2.0,40.0,0.1,0.5,2.0820420104428194e-05,0.001306953839957714,0.16806719187129857,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,2.0,40.0,0.2,0.5,2.0820420104428194e-05,0.001306953839957714,0.16806719187129857,0.9992518304994888,True,0.1289855072463768,0.018576133996248245,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
