patch_id,official_split,tile,day,month,year,scene
S2_1-12-19_48MYU_0,train,48MYU,1,12,19,48MYU_19-12-1
S2_1-12-19_48MYU_1,train,48MYU,1,12,19,48MYU_19-12-1
S2_1-12-19_48MYU_2,train,48MYU,1,12,19,48MYU_19-12-1
S2_1-12-19_48MYU_3,train,48MYU,1,12,19,48MYU_19-12-1
S2_11-1-19_19QDA_0,train,19QDA,11,1,19,19QDA_19-1-11
S2_11-1-19_19QDA_1,train,19QDA,11,1,19,19QDA_19-1-11
S2_11-1-19_19QDA_2,train,19QDA,11,1,19,19QDA_19-1-11
S2_11-1-19_19QDA_3,train,19QDA,11,1,19,19QDA_19-1-11
S2_11-1-19_19QDA_4,train,19QDA,11,1,19,19QDA_19-1-11
S2_12-1-17_16PCC_0,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_1,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_10,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_11,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_12,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_13,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_14,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_15,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_16,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_17,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_18,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_19,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_2,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_20,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_21,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_22,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_23,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_24,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_25,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_26,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_27,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_3,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_4,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_5,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_6,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_7,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_8,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-17_16PCC_9,train,16PCC,12,1,17,16PCC_17-1-12
S2_12-1-19_16PEC_0,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_1,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_10,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_11,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_12,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_13,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_14,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_15,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_16,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_17,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_18,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_19,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_2,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_20,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_21,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_22,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_23,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_24,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_25,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_26,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_27,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_28,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_29,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_3,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_30,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_31,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_32,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_33,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_34,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_35,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_36,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_37,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_38,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_39,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_4,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_40,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_41,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_42,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_43,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_44,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_45,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_46,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_47,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_48,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_49,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_5,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_50,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_51,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_52,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_53,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_54,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_55,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_56,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_57,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_58,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_59,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_6,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_7,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_8,train,16PEC,12,1,19,16PEC_19-1-12
S2_12-1-19_16PEC_9,train,16PEC,12,1,19,16PEC_19-1-12
S2_13-12-18_16PCC_0,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_1,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_10,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_11,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_12,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_13,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_14,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_15,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_16,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_17,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_18,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_19,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_2,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_20,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_21,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_22,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_23,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_24,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_25,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_26,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_27,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_28,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_29,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_3,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_30,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_31,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_32,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_4,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_5,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_6,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_7,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_8,train,16PCC,13,12,18,16PCC_18-12-13
S2_13-12-18_16PCC_9,train,16PCC,13,12,18,16PCC_18-12-13
S2_14-12-20_18QYF_0,train,18QYF,14,12,20,18QYF_20-12-14
S2_14-12-20_18QYF_1,train,18QYF,14,12,20,18QYF_20-12-14
S2_14-12-20_18QYF_2,train,18QYF,14,12,20,18QYF_20-12-14
S2_14-12-20_18QYF_3,train,18QYF,14,12,20,18QYF_20-12-14
S2_15-10-20_18QYF_0,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_1,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_10,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_2,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_3,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_4,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_5,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_6,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_7,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_8,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-10-20_18QYF_9,train,18QYF,15,10,20,18QYF_20-10-15
S2_15-9-20_18QYF_0,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_1,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_2,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_3,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_4,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_5,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_6,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_7,train,18QYF,15,9,20,18QYF_20-9-15
S2_15-9-20_18QYF_8,train,18QYF,15,9,20,18QYF_20-9-15
S2_18-9-20_16PDC_0,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_1,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_10,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_11,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_12,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_13,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_14,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_15,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_16,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_17,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_18,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_19,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_2,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_20,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_21,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_22,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_23,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_24,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_25,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_26,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_27,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_28,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_29,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_3,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_4,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_5,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_6,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_7,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_8,train,16PDC,18,9,20,16PDC_20-9-18
S2_18-9-20_16PDC_9,train,16PDC,18,9,20,16PDC_20-9-18
S2_19-3-20_18QYF_0,train,18QYF,19,3,20,18QYF_20-3-19
S2_19-3-20_18QYF_1,train,18QYF,19,3,20,18QYF_20-3-19
S2_19-3-20_18QYF_2,train,18QYF,19,3,20,18QYF_20-3-19
S2_19-3-20_18QYF_3,train,18QYF,19,3,20,18QYF_20-3-19
S2_19-3-20_18QYF_4,train,18QYF,19,3,20,18QYF_20-3-19
S2_19-3-20_18QYF_5,train,18QYF,19,3,20,18QYF_20-3-19
S2_20-10-20_18QYF_0,train,18QYF,20,10,20,18QYF_20-10-20
S2_20-10-20_18QYF_1,train,18QYF,20,10,20,18QYF_20-10-20
S2_20-10-20_18QYF_2,train,18QYF,20,10,20,18QYF_20-10-20
S2_20-10-20_18QYF_3,train,18QYF,20,10,20,18QYF_20-10-20
S2_20-4-18_30VWH_0,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_1,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_2,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_3,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_4,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_5,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_6,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_7,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_8,train,30VWH,20,4,18,30VWH_18-4-20
S2_20-4-18_30VWH_9,train,30VWH,20,4,18,30VWH_18-4-20
S2_21-2-17_16PCC_0,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_1,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_10,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_11,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_12,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_13,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_14,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_15,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_16,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_17,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_18,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_19,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_2,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_20,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_21,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_22,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_23,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_24,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_3,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_4,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_5,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_6,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_7,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_8,train,16PCC,21,2,17,16PCC_17-2-21
S2_21-2-17_16PCC_9,train,16PCC,21,2,17,16PCC_17-2-21
S2_22-3-20_18QWF_0,train,18QWF,22,3,20,18QWF_20-3-22
S2_22-3-20_18QWF_1,train,18QWF,22,3,20,18QWF_20-3-22
S2_22-3-20_18QWF_2,train,18QWF,22,3,20,18QWF_20-3-22
S2_22-3-20_18QWF_3,train,18QWF,22,3,20,18QWF_20-3-22
S2_22-3-20_18QWF_4,train,18QWF,22,3,20,18QWF_20-3-22
S2_22-3-20_18QWF_5,train,18QWF,22,3,20,18QWF_20-3-22
S2_23-1-21_18QYF_0,train,18QYF,23,1,21,18QYF_21-1-23
S2_23-1-21_18QYF_1,train,18QYF,23,1,21,18QYF_21-1-23
S2_23-1-21_18QYF_2,train,18QYF,23,1,21,18QYF_21-1-23
S2_23-9-20_16PCC_0,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_1,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_10,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_11,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_12,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_13,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_14,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_15,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_16,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_17,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_18,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_19,train,16PCC,23,9,20,16PCC_20-9-23
S2_23-9-20_16PCC_2,train,16PCC,23,9,20,16PCC_20-9-23
